,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
2141,Yeremi Pino,es ESP,MFFW,Villarreal,es La Liga,18,2002,18.6,2,0,0,31,35,10,21,19,13,0,0,0,94,20,29,40.8,Matches,540ec57b
2142,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,31,1990,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,f6a06749
2143,Riccardo Pinzi,it ITA,MF,Udinese,it Serie A,17,2003,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches,5dafcdce
2144,Gerard Piqué,es ESP,DF,Barcelona,es La Liga,34,1987,23.2,10,1,1,34,16,1,0,35,16,0,0,0,274,89,43,67.4,Matches,adfc9123
2145,Marko Pjaca,hr CRO,MFFW,Torino,it Serie A,26,1995,12.8,0,0,0,15,15,2,19,8,7,0,0,0,78,20,37,35.1,Matches,2c38b327
2146,Przemysław Płacheta,pl POL,FWMF,Norwich City,eng Premier League,23,1998,5.6,1,0,0,2,8,0,10,9,3,0,0,0,34,3,10,23.1,Matches,3c33f9d9
2147,Marvin Plattenhardt,de GER,DF,Hertha BSC,de Bundesliga,29,1992,18.2,3,0,0,16,24,0,50,23,17,0,1,0,141,17,17,50.0,Matches,f7aa75bd
2148,Alassane Pléa,fr FRA,FWMF,M'Gladbach,de Bundesliga,28,1993,23.0,4,0,0,26,37,13,21,10,14,0,0,0,124,21,39,35.0,Matches,bc6bd723
2149,Tommaso Pobega,it ITA,MF,Torino,it Serie A,22,1999,24.9,11,0,0,83,46,2,13,36,33,1,0,0,253,89,80,52.7,Matches,55a1cac2
2150,Daniel Podence,pt POR,FWMF,Wolves,eng Premier League,25,1995,16.5,2,0,0,11,30,3,34,6,9,0,0,0,90,2,25,7.4,Matches,7fcc71d8
2151,Suf Podgoreanu,il ISR,FW,Spezia,it Serie A,19,2002,1.3,0,0,0,2,2,0,6,0,4,0,0,0,4,3,0,100.0,Matches,d697a2d0
2152,Paul Pogba,fr FRA,MFFW,Manchester Utd,eng Premier League,28,1993,15.0,7,1,0,45,39,0,15,19,13,0,0,0,126,39,26,60.0,Matches,867239d3
2153,Joel Pohjanpalo,fi FIN,FW,Leverkusen,de Bundesliga,26,1994,0.1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,25.0,Matches,ea003d07
2154,Matteo Politano,it ITA,FW,Napoli,it Serie A,27,1993,18.3,3,0,0,20,28,4,69,16,18,0,0,0,85,8,16,33.3,Matches,5e861944
2155,Julian Pollersbeck,de GER,GK,Lyon,fr Ligue 1,26,1994,4.8,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,,Matches,d6f6ce93
2156,Sebastian Polter,de GER,FW,Bochum,de Bundesliga,30,1991,26.0,2,0,0,79,37,7,10,8,8,2,1,0,77,133,134,49.8,Matches,3745e8bd
2157,Ezequiel Ponce,ar ARG,FW,Elche,es La Liga,24,1997,7.4,1,1,0,16,13,6,4,4,7,0,0,0,33,22,31,41.5,Matches,ccbbe661
2158,Marin Pongračić,hr CRO,DF,Dortmund,de Bundesliga,23,1997,9.2,3,0,0,13,0,0,0,33,14,0,0,0,85,18,13,58.1,Matches,2a6cd437
2159,Pere Pons,es ESP,MF,Alavés,es La Liga,28,1993,15.2,2,0,0,28,20,2,4,8,18,0,0,0,111,23,35,39.7,Matches,29b61deb
2160,Nick Pope,eng ENG,GK,Burnley,eng Premier League,29,1992,36.0,1,0,0,0,4,0,0,0,0,0,0,0,188,0,0,,Matches,4b40d9ca
2161,Manolo Portanova,it ITA,FWMF,Genoa,it Serie A,21,2000,14.7,4,0,0,49,27,4,18,21,28,0,0,0,103,23,36,39.0,Matches,c8c0dccd
2162,Portu,es ESP,FWMF,Real Sociedad,es La Liga,29,1992,17.7,5,0,0,20,26,11,37,11,11,1,0,0,84,18,43,29.5,Matches,1bda5842
2163,Stefan Posch,at AUT,DF,Hoffenheim,de Bundesliga,24,1997,24.4,5,0,0,40,13,1,8,46,38,0,0,0,228,51,61,45.5,Matches,7f609bfc
2164,Sergio Postigo,es ESP,DF,Levante,es La Liga,32,1988,9.4,3,0,0,7,2,0,0,18,7,0,0,0,78,15,14,51.7,Matches,474ecac8
2165,Yussuf Poulsen,dk DEN,FW,RB Leipzig,de Bundesliga,27,1994,12.0,2,0,0,22,34,7,9,4,13,1,0,0,69,35,45,43.8,Matches,d2416c2e
2166,Gaëtan Poussin,fr FRA,GK,Bordeaux,fr Ligue 1,22,1999,13.0,3,0,0,0,1,0,0,0,0,0,0,1,65,0,0,,Matches,c252c705
2167,Darío Poveda,es ESP,FWMF,Getafe,es La Liga,24,1997,4.2,0,0,0,4,3,2,6,3,1,0,0,0,15,15,15,50.0,Matches,cbdf7d5c
2168,José Pozo,es ESP,MF,Rayo Vallecano,es La Liga,25,1996,0.8,0,0,0,2,2,0,1,1,1,0,0,0,13,1,1,50.0,Matches,fc8b614b
2169,Dennis Praet,be BEL,FWMF,Torino,it Serie A,27,1994,17.1,3,0,0,22,20,3,42,13,10,0,0,0,118,11,25,30.6,Matches,86695068
2170,Mateusz Praszelik,pl POL,FWMF,Hellas Verona,it Serie A,20,2000,0.3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,,Matches,ec6773f5
2171,Abdón Prats,es ESP,FW,Mallorca,es La Liga,28,1992,7.1,3,0,0,11,17,2,4,1,3,0,0,0,32,34,35,49.3,Matches,d1b060e2
2172,Sanjin Prcić,ba BIH,MF,Strasbourg,fr Ligue 1,27,1993,24.3,4,0,0,30,10,0,18,54,35,1,0,0,270,16,18,47.1,Matches,51c30111
2173,Nicolas de Préville,fr FRA,FWMF,Metz,fr Ligue 1,30,1991,21.9,5,0,0,50,59,8,38,17,14,0,0,0,143,57,57,50.0,Matches,b0547a87
2174,Isaac Price,nir NIR,MF,Everton,eng Premier League,17,2003,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches,b9403c99
2175,Manuel Prietl,at AUT,MF,Arminia,de Bundesliga,29,1991,23.6,3,0,0,44,12,0,2,56,39,0,3,0,205,34,30,53.1,Matches,901c0f97
2176,Alejandro Primo,es ESP,GK,Levante,es La Liga,17,2004,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,f38284bb
2177,Grischa Prömel,de GER,MF,Union Berlin,de Bundesliga,26,1995,26.9,4,0,0,47,63,2,7,44,30,0,0,0,285,44,50,46.8,Matches,924f9191
2178,Nick Proschwitz,de GER,FW,Hoffenheim,de Bundesliga,34,1986,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,Matches,9cf4fd68
2179,Ivan Provedel,it ITA,GK,Spezia,it Serie A,27,1994,30.7,2,0,0,2,4,0,0,0,0,0,2,1,138,0,0,,Matches,277da414
2180,Javi Puado,es ESP,FWMF,Espanyol,es La Liga,23,1998,24.9,5,0,0,27,31,6,14,25,19,0,0,0,134,17,46,27.0,Matches,2683eda7
2181,Pubill,es ESP,DF,Levante,es La Liga,18,2003,5.7,1,0,0,11,9,0,12,7,12,0,0,0,37,6,4,60.0,Matches,365113c0
2182,Antonio Puertas,es ESP,MFFW,Granada,es La Liga,29,1992,25.1,4,0,0,51,34,8,36,11,21,0,1,0,146,55,82,40.1,Matches,c77a8043
2183,Riqui Puig,es ESP,MF,Barcelona,es La Liga,21,1999,5.4,0,0,0,9,15,0,1,5,3,0,0,0,42,0,4,0.0,Matches,f090a37a
2184,Teemu Pukki,fi FIN,FW,Norwich City,eng Premier League,31,1990,36.1,4,0,0,44,29,12,25,17,11,1,0,0,124,16,108,12.9,Matches,0745b37d
2185,Erick Pulgar,cl CHI,MF,Fiorentina,it Serie A,27,1994,3.8,2,0,0,5,5,0,1,6,2,0,0,0,35,6,7,46.2,Matches,4611e028
2186,Christian Pulisic,us USA,MFFW,Chelsea,eng Premier League,22,1998,14.3,2,0,0,14,35,4,13,11,9,0,0,0,79,15,33,31.3,Matches,1bf33a9a
2187,Afimico Pululu,fr FRA,FW,Greuther Fürth,de Bundesliga,22,1999,0.8,0,0,0,4,8,1,1,0,2,0,0,0,2,1,9,10.0,Matches,32c016f8
2188,Ignacio Pussetto,ar ARG,FWMF,Udinese,it Serie A,25,1995,13.4,4,0,0,32,31,9,18,7,15,1,0,0,72,36,61,37.1,Matches,62437b4f
2189,Niklas Pyyhtiä,fi FIN,MF,Bologna,it Serie A,17,2003,0.2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,Matches,88f53b75
2190,Yacine Qasmi,ma MAR,MF,Rayo Vallecano,es La Liga,30,1991,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0,Matches,3b3cbebb
2191,Fabio Quagliarella,it ITA,FW,Sampdoria,it Serie A,38,1983,18.5,2,0,0,21,32,15,17,11,3,0,0,0,87,24,42,36.4,Matches,ee4f2f3b
2192,Quini,es ESP,DF,Granada,es La Liga,31,1989,25.6,11,0,0,46,14,1,46,54,54,0,0,0,206,30,36,45.5,Matches,7a538238
2193,Dani Raba,es ESP,MFFW,Granada,es La Liga,25,1995,0.3,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,,Matches,ea6a7ab4
2194,Dani Raba,es ESP,MFFW,Villarreal,es La Liga,25,1995,1.0,1,0,0,4,5,1,3,2,1,0,0,0,7,2,1,66.7,Matches,ea6a7ab4
2195,Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,26,1995,25.4,5,0,0,48,30,4,20,32,54,0,1,0,215,54,31,63.5,Matches,8794e251
2196,Uroš Račić,rs SRB,MF,Valencia,es La Liga,23,1998,13.4,3,1,1,35,23,1,6,20,25,0,0,0,131,34,30,53.1,Matches,faed84db
2197,Nemanja Radoja,rs SRB,MF,Levante,es La Liga,28,1993,13.5,3,0,0,24,15,0,4,17,14,1,1,0,111,21,16,56.8,Matches,b5dd3469
2198,Nemanja Radonjić,rs SRB,MF,Marseille,fr Ligue 1,25,1996,0.2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,Matches,0630eb63
2199,Ivan Radovanović,rs SRB,DFMF,Salernitana,it Serie A,32,1988,11.7,4,0,0,9,9,0,1,13,6,0,0,0,120,25,11,69.4,Matches,023937a9
2200,Ionuț Radu,ro ROU,GK,Inter,it Serie A,24,1997,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,67f649be
2201,Ștefan Radu,ro ROU,DF,Lazio,it Serie A,34,1986,6.2,2,0,0,5,6,0,7,10,5,0,0,0,48,13,11,54.2,Matches,53de807a
2202,Boris Radunović,rs SRB,GK,Cagliari,it Serie A,25,1996,3.0,0,1,0,0,1,0,0,0,0,0,0,0,12,0,0,,Matches,0dfce079
2203,Sidney Raebiger,de GER,MF,RB Leipzig,de Bundesliga,16,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,a8090a41
2204,Rafinha,br BRA,MFFW,Real Sociedad,es La Liga,28,1993,11.7,3,0,0,23,46,0,11,22,27,0,0,0,126,17,22,43.6,Matches,0c2ac3cb
2205,Rafinha,br BRA,FWMF,Paris S-G,fr Ligue 1,28,1993,2.4,0,0,0,4,9,0,0,4,7,0,0,0,12,2,1,66.7,Matches,0c2ac3cb
2206,Antonio Raillo,es ESP,DF,Mallorca,es La Liga,29,1991,17.0,8,0,0,26,14,1,1,27,12,0,0,1,148,39,37,51.3,Matches,b857bd29
2207,Antonio Raimondo,it ITA,FW,Bologna,it Serie A,17,2004,0.8,0,0,0,3,0,3,0,0,0,0,0,0,3,1,4,20.0,Matches,ce1a6c7e
2208,Predrag Rajković,rs SRB,GK,Reims,fr Ligue 1,25,1995,38.0,3,0,0,0,8,0,0,0,0,0,0,0,215,0,1,0.0,Matches,58ad9383
2209,Jesuran Rak Sakyi,eng ENG,FWMF,Crystal Palace,eng Premier League,18,2002,0.9,0,0,0,1,4,0,1,3,0,0,0,0,5,0,1,0.0,Matches,45685411
2210,Ivan Rakitić,hr CRO,MF,Sevilla,es La Liga,33,1988,24.2,5,0,0,42,45,0,30,26,27,0,0,0,226,36,39,48.0,Matches,89f951b5
2211,Diant Ramaj,de GER,GK,Eint Frankfurt,de Bundesliga,19,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches,b90c4a43
2212,Jonás Ramalho,es ESP,DF,Osasuna,es La Liga,28,1993,2.7,0,0,0,1,0,0,3,10,3,0,0,0,20,9,5,64.3,Matches,be3a0121
2213,Adil Rami,fr FRA,DF,Troyes,fr Ligue 1,35,1985,13.0,1,0,0,8,5,0,0,18,13,0,0,0,94,24,13,64.9,Matches,8dbff17c
2214,Sandro Ramírez,es ESP,FW,Getafe,es La Liga,26,1995,16.2,7,0,0,32,48,11,28,5,7,0,0,0,89,17,39,30.4,Matches,833fb62e
2215,Guilherme Ramos,pt POR,DF,Arminia,de Bundesliga,23,1997,10.1,1,0,0,17,6,1,6,28,20,0,0,0,102,37,27,57.8,Matches,df9c3473
2216,Sergio Ramos,es ESP,DF,Paris S-G,fr Ligue 1,35,1986,8.9,3,1,1,12,4,1,0,9,7,0,0,0,79,14,9,60.9,Matches,08511d65
2217,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,23,1998,34.0,1,0,0,0,7,0,0,0,0,0,0,0,183,0,1,0.0,Matches,466fb2c5
2218,Aaron Ramsey,wls WAL,MF,Juventus,it Serie A,30,1990,1.1,0,0,0,1,1,0,0,2,0,0,0,0,4,0,0,,Matches,ef619b0b
2219,Jacob Ramsey,eng ENG,MF,Aston Villa,eng Premier League,20,2001,27.4,6,0,0,41,52,1,16,38,41,0,0,0,178,22,35,38.6,Matches,1544f145
2220,Luca Ranieri,it ITA,DF,Salernitana,it Serie A,22,1999,23.4,9,0,0,19,10,2,43,42,23,0,0,0,145,27,26,50.9,Matches,8c63fae5
2221,Andrea Ranocchia,it ITA,DF,Inter,it Serie A,33,1988,3.8,1,0,0,5,2,1,1,6,6,0,0,0,22,16,6,72.7,Matches,539230cf
2222,Raphinha,br BRA,FWMF,Leeds United,eng Premier League,24,1996,32.4,7,0,0,49,52,14,90,43,25,1,1,0,212,25,37,40.3,Matches,3423f250
2223,Tobias Raschl,de GER,MF,Greuther Fürth,de Bundesliga,21,2000,6.6,0,0,0,7,10,1,0,9,9,0,1,0,59,0,8,0.0,Matches,bd992863
2224,Elba Rashani,xk KVX,FWMF,Clermont Foot,fr Ligue 1,28,1993,19.5,3,0,0,40,30,5,29,26,28,0,0,0,130,24,45,34.8,Matches,25749008
2225,Marcus Rashford,eng ENG,FWMF,Manchester Utd,eng Premier League,23,1997,13.7,2,0,0,13,21,14,25,12,6,0,0,0,67,15,29,34.1,Matches,a1d5bd30
2226,Milot Rashica,xk KVX,FWMF,Norwich City,eng Premier League,25,1996,24.8,0,0,0,28,52,13,80,36,21,0,0,0,139,17,38,30.9,Matches,6c6a3300
2227,Giacomo Raspadori,it ITA,MFFW,Sassuolo,it Serie A,21,2000,30.4,9,1,1,29,39,5,27,23,25,1,0,0,159,8,28,22.2,Matches,6e058f06
2228,Raúl,es ESP,FW,Betis,es La Liga,20,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches,18f0a9f0
2229,David Raum,de GER,DF,Hoffenheim,de Bundesliga,23,1998,30.6,5,0,0,29,34,7,182,45,36,0,0,1,245,35,37,48.6,Matches,7d450ed3
2230,Nicola Ravaglia,it ITA,GK,Sampdoria,it Serie A,32,1988,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,d7a35008
2231,David Raya,es ESP,GK,Brentford,eng Premier League,25,1995,24.0,1,0,0,1,2,0,0,0,0,0,1,0,126,0,0,,Matches,98ea5115
2232,Ante Rebić,hr CRO,FW,Milan,it Serie A,27,1993,9.9,2,0,0,17,9,7,33,2,6,0,0,0,58,11,25,30.6,Matches,536cebe5
2233,Arkadiusz Reca,pl POL,DF,Spezia,it Serie A,26,1995,19.7,3,0,0,24,14,0,36,46,21,0,1,0,131,26,31,45.6,Matches,6213fd82
2234,Lluís Recasens,es ESP,DF,Espanyol,es La Liga,19,2002,0.5,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,100.0,Matches,c31ea173
2235,Nathan Redmond,eng ENG,MFFW,Southampton,eng Premier League,27,1994,20.4,0,0,0,17,20,3,51,21,13,0,0,0,142,16,47,25.4,Matches,ab651565
2236,Sergio Reguilón,es ESP,DF,Tottenham,eng Premier League,24,1996,21.3,4,0,0,25,28,1,59,42,28,0,0,0,144,31,24,56.4,Matches,3353737a
2237,Manolo Reina,es ESP,GK,Mallorca,es La Liga,36,1985,21.0,5,1,0,0,6,0,0,0,0,0,0,1,94,0,0,,Matches,605eb473
2238,Pepe Reina,es ESP,GK,Lazio,it Serie A,38,1982,15.0,3,0,0,1,1,0,0,0,1,0,1,0,61,0,0,,Matches,e358587b
2239,Jeff Reine-Adélaïde,fr FRA,MF,Lyon,fr Ligue 1,23,1998,2.2,0,0,0,4,4,1,0,2,5,0,0,0,19,1,2,33.3,Matches,d504b3e1
2240,Reinier,br BRA,FWMF,Dortmund,de Bundesliga,19,2002,1.8,0,0,0,3,2,0,1,4,4,0,0,0,12,0,6,0.0,Matches,6b21b7b5
2241,Karim Rekik,nl NED,DF,Sevilla,es La Liga,26,1994,12.2,2,0,0,18,9,1,5,15,13,0,0,0,89,28,19,59.6,Matches,3376a776
2242,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,26,1995,35.0,1,0,0,0,4,0,0,0,0,0,0,0,166,0,0,,Matches,374ee424
2243,Panagiotis Retsos,gr GRE,DFFW,Leverkusen,de Bundesliga,22,1998,0.4,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,100.0,Matches,4bd00a50
2244,Panagiotis Retsos,gr GRE,DFMF,Hellas Verona,it Serie A,22,1998,0.6,0,0,0,1,1,0,0,2,0,0,0,0,7,0,0,,Matches,4bd00a50
2245,Marco Reus,de GER,MFFW,Dortmund,de Bundesliga,32,1989,27.8,2,0,0,25,50,10,36,24,27,3,0,0,171,17,41,29.3,Matches,36a3ff67
2246,Elvis Rexhbeçaj,de GER,MF,Bochum,de Bundesliga,23,1997,28.2,5,0,0,38,65,2,29,38,19,0,1,0,277,25,51,32.9,Matches,1ae836b1
2247,Gio Reyna,us USA,MF,Dortmund,de Bundesliga,18,2002,4.9,0,0,0,7,11,1,6,1,4,0,0,0,41,4,8,33.3,Matches,7fa4e703
2248,Bryan Reynolds,us USA,DF,Roma,it Serie A,20,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,2306bf5c
2249,Nico Ribaudo,es ESP,MFFW,Espanyol,es La Liga,20,2001,12.4,5,1,1,29,36,3,6,9,15,0,0,0,70,13,42,23.6,Matches,ce8039aa
2250,Tiago Ribeiro,pt POR,FW,Monaco,fr Ligue 1,19,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,507d7569
2251,Franck Ribéry,fr FRA,MFFW,Salernitana,it Serie A,38,1983,15.8,3,1,0,32,44,2,24,13,14,0,0,0,113,5,16,23.8,Matches,f61c7c4e
2252,Samuele Ricci,it ITA,MF,Torino,it Serie A,19,2001,8.0,1,0,0,14,14,2,2,18,5,0,0,0,52,1,8,11.1,Matches,9823be92
2253,Samuele Ricci,it ITA,MF,Empoli,it Serie A,19,2001,17.0,1,1,0,18,47,0,2,48,30,0,0,0,149,6,10,37.5,Matches,9823be92
2254,Declan Rice,eng ENG,MF,West Ham,eng Premier League,22,1999,35.3,8,0,0,35,21,0,37,95,53,0,0,0,366,48,28,63.2,Matches,1c7012b8
2255,Chris Richards,us USA,DF,Hoffenheim,de Bundesliga,21,2000,14.5,1,0,0,13,2,0,0,38,18,0,0,0,160,69,36,65.7,Matches,0a3d6d2b
2256,Chris Richards,us USA,DF,Bayern Munich,de Bundesliga,21,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,0a3d6d2b
2257,Omar Richards,eng ENG,DF,Bayern Munich,de Bundesliga,23,1998,4.9,1,0,0,15,22,0,6,7,15,0,0,0,40,3,5,37.5,Matches,f9b1b7bf
2258,Taylor Richards,eng ENG,MFFW,Brighton,eng Premier League,20,2000,0.3,0,0,0,2,2,0,0,0,0,0,0,0,5,0,1,0.0,Matches,e0243d23
2259,Richarlison,br BRA,FWMF,Everton,eng Premier League,24,1997,28.0,9,0,0,40,83,20,29,21,27,1,0,0,185,57,176,24.5,Matches,fa031b34
2260,Marco Richter,de GER,FWMF,Hertha BSC,de Bundesliga,23,1997,18.9,6,0,0,34,50,4,38,28,18,0,0,0,143,11,39,22.0,Matches,f972644c
2261,Diego Rico,es ESP,DF,Real Sociedad,es La Liga,28,1993,18.3,4,0,0,16,19,4,41,48,27,0,1,0,186,33,14,70.2,Matches,d9ba39fc
2262,Sergio Rico,es ESP,GK,Mallorca,es La Liga,27,1993,14.0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,,Matches,5f0241b2
2263,Sergio Rico,es ESP,GK,Paris S-G,fr Ligue 1,27,1993,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,5f0241b2
2264,Jaïro Riedewald,nl NED,MF,Crystal Palace,eng Premier League,24,1996,1.3,0,0,0,1,0,0,0,0,2,0,0,0,12,0,2,0.0,Matches,7a1f2c08
2265,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,32,1988,31.0,2,0,0,0,5,0,0,1,0,0,0,0,192,0,0,,Matches,9f941969
2266,Tomás Rincón,ve VEN,MF,Sampdoria,it Serie A,33,1988,13.0,3,0,0,28,35,0,3,18,19,0,0,0,109,16,10,61.5,Matches,f1cfc209
2267,Tomás Rincón,ve VEN,MFFW,Torino,it Serie A,33,1988,1.8,2,0,0,6,2,0,2,2,1,0,0,0,23,6,4,60.0,Matches,f1cfc209
2268,Luis Rioja,es ESP,FWMF,Alavés,es La Liga,27,1993,34.6,3,0,0,20,43,12,116,48,17,0,0,0,256,25,43,36.8,Matches,eb3dd471
2269,Renaud Ripart,fr FRA,FWDF,Troyes,fr Ligue 1,28,1993,21.0,2,0,0,30,41,5,39,19,24,1,0,0,114,46,62,42.6,Matches,beae3a73
2270,Mihailo Ristić,rs SRB,DF,Montpellier,fr Ligue 1,25,1995,20.0,3,1,0,26,30,0,49,36,33,0,0,0,151,24,18,57.1,Matches,ea0aa7e0
2271,Matt Ritchie,sct SCO,DF,Newcastle Utd,eng Premier League,31,1989,14.9,5,0,0,12,11,0,45,30,7,0,0,0,118,14,21,40.0,Matches,71ef519e
2272,Maxence Rivera,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,46a7b605
2273,Rober,es ESP,DF,Levante,es La Liga,26,1995,22.3,5,1,1,38,13,0,4,56,28,0,1,0,216,31,36,46.3,Matches,c00097d2
2274,Sergi Roberto,es ESP,MFDF,Barcelona,es La Liga,29,1992,4.4,1,0,0,2,4,1,7,2,6,0,0,0,38,2,3,40.0,Matches,335fa267
2275,Connor Roberts,wls WAL,DF,Burnley,eng Premier League,25,1995,18.8,2,0,0,12,31,1,28,42,13,0,0,0,150,19,17,52.8,Matches,24fae784
2276,Patrick Roberts,eng ENG,DF,Troyes,fr Ligue 1,24,1997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,59d93937
2277,Tyler Roberts,wls WAL,MFFW,Leeds United,eng Premier League,22,1999,11.0,5,0,0,19,25,3,16,7,7,0,0,0,63,10,26,27.8,Matches,6c17e046
2278,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,27,1994,28.2,5,1,0,21,11,4,89,49,17,0,0,0,248,33,13,71.7,Matches,2e4f5f03
2279,Marc Roca,es ESP,MF,Bayern Munich,de Bundesliga,24,1996,4.2,0,0,0,16,4,0,1,8,7,0,0,0,58,1,8,11.1,Matches,da27e268
2280,Rubén Rochina,es ESP,MFFW,Granada,es La Liga,30,1991,8.3,3,0,0,13,19,1,18,12,12,0,0,0,65,10,14,41.7,Matches,ecd8c01e
2281,Cimo Röcker,de GER,DF,Hertha BSC,de Bundesliga,27,1994,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,66.7,Matches,611b1aae
2282,Enzo Roco,cl CHI,DF,Elche,es La Liga,28,1992,28.4,10,0,0,40,11,1,0,51,23,0,2,0,231,80,36,69.0,Matches,37f827ec
2283,Stian Rode Gregersen,no NOR,DF,Bordeaux,fr Ligue 1,26,1995,21.7,7,0,0,23,23,1,5,58,32,0,2,0,160,47,30,61.0,Matches,5f011e05
2284,Sebastian Rode,de GER,MF,Eint Frankfurt,de Bundesliga,30,1990,8.4,1,0,0,13,10,0,3,15,10,0,0,0,110,11,14,44.0,Matches,e12b0b5b
2285,Joe Rodon,wls WAL,DF,Tottenham,eng Premier League,23,1997,1.0,0,0,0,0,1,0,0,2,0,0,0,0,8,4,2,66.7,Matches,8d62d31a
2286,Rodri,es ESP,MF,Manchester City,eng Premier League,25,1996,32.0,5,0,0,50,37,0,8,40,46,0,0,0,415,91,33,73.4,Matches,6434f10d
2287,Rodrigo,es ESP,FW,Betis,es La Liga,21,2000,9.8,1,0,0,3,18,1,16,3,7,0,0,0,61,2,11,15.4,Matches,85bed4ee
2288,Rodrigo,es ESP,MFFW,Leeds United,eng Premier League,30,1991,25.2,9,0,0,27,32,4,28,19,18,0,0,0,139,29,50,36.7,Matches,1fb1c435
2289,Gerson Rodrigues,lu LUX,FW,Troyes,fr Ligue 1,26,1995,9.4,6,0,0,29,17,6,3,2,7,0,0,0,48,14,21,40.0,Matches,3814b753
2290,Kévin Rodrigues,pt POR,DFFW,Rayo Vallecano,es La Liga,27,1994,4.8,0,0,0,6,8,0,7,10,12,0,0,0,43,7,10,41.2,Matches,f1bed920
2291,Ángel Rodríguez,es ESP,FW,Mallorca,es La Liga,34,1987,17.2,4,0,0,43,28,17,8,5,13,1,0,0,74,16,49,24.6,Matches,8cfc2f69
2292,Óscar Rodríguez Arnaiz,es ESP,FWMF,Sevilla,es La Liga,23,1998,4.6,1,0,0,6,6,1,7,9,9,0,0,0,22,3,6,33.3,Matches,19709006
2293,Óscar Rodríguez Arnaiz,es ESP,MFFW,Getafe,es La Liga,23,1998,10.5,2,0,0,10,13,1,19,23,12,0,0,0,76,11,13,45.8,Matches,19709006
2294,Dani Rodríguez,es ESP,MFFW,Mallorca,es La Liga,33,1988,31.5,7,0,0,78,78,3,31,34,38,0,0,0,238,47,68,40.9,Matches,70f8e0bd
2295,Guido Rodríguez,ar ARG,MF,Betis,es La Liga,27,1994,28.1,9,1,1,58,62,3,3,50,57,0,0,0,300,33,17,66.0,Matches,34e393f2
2296,Jay Rodriguez,eng ENG,FW,Burnley,eng Premier League,32,1989,15.4,3,0,0,37,19,17,8,6,10,0,0,0,68,61,86,41.5,Matches,4ab53cdb
2297,Ricardo Rodríguez,ch SUI,DF,Torino,it Serie A,28,1992,27.5,3,0,0,30,13,0,12,51,24,0,1,0,236,61,42,59.2,Matches,7f78ad23
2298,Rodrygo,br BRA,FW,Real Madrid,es La Liga,20,2001,16.9,4,0,0,23,30,13,24,18,15,3,0,0,73,12,31,27.9,Matches,8f5e92a6
2299,Mads Roerslev,dk DEN,DF,Brentford,eng Premier League,22,1999,13.8,1,0,0,20,9,2,23,21,9,0,1,0,82,16,30,34.8,Matches,57c94db2
