,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
2244,Panagiotis Retsos,gr GRE,DFMF,Hellas Verona,it Serie A,22,1998,0.6,14,22,63.6,280,124,7,9,77.8,5,10,50.0,2,3,66.7,0,0.1,-0.1,1,0,2,0,3,Matches,4bd00a50
2245,Marco Reus,de GER,MFFW,Dortmund,de Bundesliga,32,1989,27.8,1026,1268,80.9,15687,3899,602,683,88.1,303,374,81.0,82,123,66.7,13,7.8,+5.2,54,86,38,2,112,Matches,36a3ff67
2246,Elvis Rexhbeçaj,de GER,MF,Bochum,de Bundesliga,23,1997,28.2,538,812,66.3,10273,3254,219,276,79.3,236,315,74.9,68,177,38.4,0,1.2,-1.2,19,62,9,3,64,Matches,1ae836b1
2247,Gio Reyna,us USA,MF,Dortmund,de Bundesliga,18,2002,4.9,205,262,78.2,3015,714,115,134,85.8,66,77,85.7,13,27,48.1,1,1.6,-0.6,14,9,6,2,9,Matches,7fa4e703
2248,Bryan Reynolds,us USA,DF,Roma,it Serie A,20,2001,0.0,2,2,100.0,34,8,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,2306bf5c
2249,Nico Ribaudo,es ESP,MFFW,Espanyol,es La Liga,20,2001,12.4,367,434,84.6,6267,1349,203,228,89.0,119,139,85.6,39,52,75.0,0,1.3,-1.3,13,28,14,1,38,Matches,ce8039aa
2250,Tiago Ribeiro,pt POR,FW,Monaco,fr Ligue 1,19,2002,0.0,2,2,100.0,36,5,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,Matches,507d7569
2251,Franck Ribéry,fr FRA,MFFW,Salernitana,it Serie A,38,1983,15.8,517,665,77.7,8939,2251,244,279,87.5,195,229,85.2,55,94,58.5,2,2.9,-0.9,33,45,23,2,61,Matches,f61c7c4e
2252,Samuele Ricci,it ITA,MF,Torino,it Serie A,19,2001,8.0,348,380,91.6,6803,1353,110,124,88.7,191,197,97.0,43,48,89.6,0,0.5,-0.5,6,28,1,0,23,Matches,9823be92
2253,Samuele Ricci,it ITA,MF,Empoli,it Serie A,19,2001,17.0,820,921,89.0,16526,3876,270,287,94.1,425,446,95.3,119,165,72.1,1,0.3,+0.7,6,77,7,0,79,Matches,9823be92
2254,Declan Rice,eng ENG,MF,West Ham,eng Premier League,22,1999,35.3,1950,2151,90.7,39536,9246,730,781,93.5,879,942,93.3,320,387,82.7,4,2.0,+2.0,24,242,31,10,149,Matches,1c7012b8
2255,Chris Richards,us USA,DF,Hoffenheim,de Bundesliga,21,2000,14.5,839,968,86.7,16537,5187,299,330,90.6,417,453,92.1,113,164,68.9,1,0.6,+0.4,2,47,4,0,52,Matches,0a3d6d2b
2256,Chris Richards,us USA,DF,Bayern Munich,de Bundesliga,21,2000,0.0,2,2,100.0,40,13,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,0a3d6d2b
2257,Omar Richards,eng ENG,DF,Bayern Munich,de Bundesliga,23,1998,4.9,316,359,88.0,4972,1746,168,183,91.8,130,141,92.2,16,26,61.5,0,0.2,-0.2,3,21,5,0,26,Matches,f9b1b7bf
2258,Taylor Richards,eng ENG,MFFW,Brighton,eng Premier League,20,2000,0.3,23,27,85.2,431,111,7,8,87.5,12,14,85.7,3,3,100.0,0,0.0,0.0,0,2,0,0,2,Matches,e0243d23
2259,Richarlison,br BRA,FWMF,Everton,eng Premier League,24,1997,28.0,352,570,61.8,5326,1162,184,256,71.9,122,174,70.1,23,54,42.6,5,2.4,+2.6,26,22,11,1,34,Matches,fa031b34
2260,Marco Richter,de GER,FWMF,Hertha BSC,de Bundesliga,23,1997,18.9,352,530,66.4,6096,2066,179,221,81.0,111,167,66.5,46,99,46.5,1,1.5,-0.5,19,28,18,4,39,Matches,f972644c
2261,Diego Rico,es ESP,DF,Real Sociedad,es La Liga,28,1993,18.3,859,1131,76.0,15422,7207,345,399,86.5,420,515,81.6,79,163,48.5,0,0.9,-0.9,14,53,33,13,94,Matches,d9ba39fc
2262,Sergio Rico,es ESP,GK,Mallorca,es La Liga,27,1993,14.0,246,359,68.5,9394,6960,32,32,100.0,81,83,97.6,130,241,53.9,0,0.0,0.0,1,3,0,0,0,Matches,5f0241b2
2263,Sergio Rico,es ESP,GK,Paris S-G,fr Ligue 1,27,1993,0.3,7,8,87.5,204,116,1,1,100.0,3,3,100.0,3,4,75.0,0,0.0,0.0,0,0,0,0,0,Matches,5f0241b2
2264,Jaïro Riedewald,nl NED,MF,Crystal Palace,eng Premier League,24,1996,1.3,45,54,83.3,920,217,13,16,81.3,26,27,96.3,6,9,66.7,0,0.1,-0.1,2,3,0,0,4,Matches,7a1f2c08
2265,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,32,1988,31.0,1026,1648,62.3,43670,31609,69,69,100.0,250,257,97.3,707,1320,53.6,1,0.7,+0.3,7,89,7,0,6,Matches,9f941969
2266,Tomás Rincón,ve VEN,MF,Sampdoria,it Serie A,33,1988,13.0,500,591,84.6,9952,2828,206,231,89.2,208,235,88.5,82,108,75.9,0,0.1,-0.1,5,50,5,0,41,Matches,f1cfc209
2267,Tomás Rincón,ve VEN,MFFW,Torino,it Serie A,33,1988,1.8,78,93,83.9,1512,273,34,41,82.9,32,36,88.9,10,13,76.9,0,0.0,0.0,2,9,0,0,7,Matches,f1cfc209
2268,Luis Rioja,es ESP,FWMF,Alavés,es La Liga,27,1993,34.6,560,932,60.1,9414,2755,311,420,74.0,176,276,63.8,60,165,36.4,3,4.8,-1.8,33,30,31,11,59,Matches,eb3dd471
2269,Renaud Ripart,fr FRA,FWDF,Troyes,fr Ligue 1,28,1993,21.0,485,679,71.4,8108,1892,260,318,81.8,158,222,71.2,49,89,55.1,2,1.3,+0.7,14,37,15,6,49,Matches,beae3a73
2270,Mihailo Ristić,rs SRB,DF,Montpellier,fr Ligue 1,25,1995,20.0,804,1057,76.1,14601,6019,384,420,91.4,309,385,80.3,97,210,46.2,3,1.9,+1.1,18,64,15,10,77,Matches,ea0aa7e0
2271,Matt Ritchie,sct SCO,DF,Newcastle Utd,eng Premier League,31,1989,14.9,511,703,72.7,10284,5160,233,260,89.6,175,217,80.6,97,208,46.6,2,1.6,+0.4,29,39,15,7,48,Matches,71ef519e
2272,Maxence Rivera,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2002,0.1,0,2,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,46a7b605
2273,Rober,es ESP,DF,Levante,es La Liga,26,1995,22.3,846,1042,81.2,17543,7409,288,311,92.6,402,448,89.7,150,264,56.8,0,0.4,-0.4,5,56,3,1,69,Matches,c00097d2
2274,Sergi Roberto,es ESP,MFDF,Barcelona,es La Liga,29,1992,4.4,241,268,89.9,3887,908,124,132,93.9,93,100,93.0,20,29,69.0,1,0.3,+0.7,5,16,2,0,15,Matches,335fa267
2275,Connor Roberts,wls WAL,DF,Burnley,eng Premier League,25,1995,18.8,562,834,67.4,10640,4678,246,283,86.9,228,327,69.7,83,202,41.1,1,1.1,-0.1,13,41,17,7,63,Matches,24fae784
2276,Patrick Roberts,eng ENG,DF,Troyes,fr Ligue 1,24,1997,0.2,5,6,83.3,72,13,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches,59d93937
2277,Tyler Roberts,wls WAL,MFFW,Leeds United,eng Premier League,22,1999,11.0,222,301,73.8,3529,831,119,145,82.1,67,90,74.4,22,38,57.9,1,1.2,-0.2,15,18,12,3,24,Matches,6c17e046
2278,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,27,1994,28.2,1859,2294,81.0,33724,11980,846,923,91.7,821,955,86.0,183,356,51.4,10,5.2,+4.8,55,139,49,14,198,Matches,2e4f5f03
2279,Marc Roca,es ESP,MF,Bayern Munich,de Bundesliga,24,1996,4.2,256,296,86.5,4577,1379,116,130,89.2,98,104,94.2,32,47,68.1,0,0.4,-0.4,6,18,4,0,21,Matches,da27e268
2280,Rubén Rochina,es ESP,MFFW,Granada,es La Liga,30,1991,8.3,259,379,68.3,5358,1506,121,140,86.4,82,115,71.3,49,103,47.6,3,0.7,+2.3,12,31,8,3,33,Matches,ecd8c01e
2281,Cimo Röcker,de GER,DF,Hertha BSC,de Bundesliga,27,1994,0.2,11,17,64.7,233,73,2,2,100.0,7,9,77.8,2,6,33.3,0,0.3,-0.3,1,0,0,0,0,Matches,611b1aae
2282,Enzo Roco,cl CHI,DF,Elche,es La Liga,28,1992,28.4,950,1135,83.7,22032,7156,239,265,90.2,485,529,91.7,220,323,68.1,0,0.1,-0.1,2,41,2,0,42,Matches,37f827ec
2283,Stian Rode Gregersen,no NOR,DF,Bordeaux,fr Ligue 1,26,1995,21.7,787,923,85.3,15696,5740,255,279,91.4,410,459,89.3,106,155,68.4,1,0.4,+0.6,3,42,5,2,38,Matches,5f011e05
2284,Sebastian Rode,de GER,MF,Eint Frankfurt,de Bundesliga,30,1990,8.4,344,424,81.1,6177,1915,152,181,84.0,147,176,83.5,38,53,71.7,0,0.8,-0.8,12,35,6,1,46,Matches,e12b0b5b
2285,Joe Rodon,wls WAL,DF,Tottenham,eng Premier League,23,1997,1.0,28,31,90.3,598,152,8,8,100.0,14,16,87.5,6,7,85.7,0,0.0,0.0,0,2,0,0,0,Matches,8d62d31a
2286,Rodri,es ESP,MF,Manchester City,eng Premier League,25,1996,32.0,2587,2796,92.5,52886,10194,932,983,94.8,1215,1286,94.5,424,491,86.4,2,1.4,+0.6,25,242,36,1,179,Matches,6434f10d
2287,Rodrigo,es ESP,FW,Betis,es La Liga,21,2000,9.8,340,414,82.1,6007,1892,165,183,90.2,134,161,83.2,37,56,66.1,2,1.6,+0.4,17,37,21,2,54,Matches,85bed4ee
2288,Rodrigo,es ESP,MFFW,Leeds United,eng Premier League,30,1991,25.2,667,895,74.5,11252,2788,347,437,79.4,218,275,79.3,77,116,66.4,1,4.6,-3.6,40,67,34,10,76,Matches,1fb1c435
2289,Gerson Rodrigues,lu LUX,FW,Troyes,fr Ligue 1,26,1995,9.4,166,221,75.1,2634,498,94,113,83.2,48,59,81.4,17,29,58.6,1,0.2,+0.8,6,17,8,1,14,Matches,3814b753
2290,Kévin Rodrigues,pt POR,DFFW,Rayo Vallecano,es La Liga,27,1994,4.8,162,225,72.0,2723,1224,72,88,81.8,72,89,80.9,13,34,38.2,0,0.1,-0.1,4,14,3,2,13,Matches,f1bed920
2291,Ángel Rodríguez,es ESP,FW,Mallorca,es La Liga,34,1987,17.2,198,273,72.5,2934,572,114,145,78.6,56,73,76.7,16,30,53.3,2,1.3,+0.7,12,16,12,2,25,Matches,8cfc2f69
2292,Óscar Rodríguez Arnaiz,es ESP,FWMF,Sevilla,es La Liga,23,1998,4.6,166,210,79.0,3187,714,83,90,92.2,57,74,77.0,24,38,63.2,0,1.2,-1.2,7,13,5,2,15,Matches,19709006
2293,Óscar Rodríguez Arnaiz,es ESP,MFFW,Getafe,es La Liga,23,1998,10.5,321,424,75.7,6018,1759,153,185,82.7,112,133,84.2,51,92,55.4,1,1.5,-0.5,13,28,7,1,22,Matches,19709006
2294,Dani Rodríguez,es ESP,MFFW,Mallorca,es La Liga,33,1988,31.5,741,975,76.0,12195,3645,392,460,85.2,236,291,81.1,77,142,54.2,3,3.0,0.0,42,60,23,1,71,Matches,70f8e0bd
2295,Guido Rodríguez,ar ARG,MF,Betis,es La Liga,27,1994,28.1,1243,1435,86.6,23643,6910,524,584,89.7,511,558,91.6,173,230,75.2,2,0.4,+1.6,13,112,8,2,89,Matches,34e393f2
2296,Jay Rodriguez,eng ENG,FW,Burnley,eng Premier League,32,1989,15.4,209,319,65.5,2729,733,141,180,78.3,46,88,52.3,7,21,33.3,2,1.9,+0.1,12,17,3,1,18,Matches,4ab53cdb
2297,Ricardo Rodríguez,ch SUI,DF,Torino,it Serie A,28,1992,27.5,1259,1461,86.2,23988,8537,530,568,93.3,554,599,92.5,158,260,60.8,1,1.6,-0.6,23,100,7,2,93,Matches,7f78ad23
2298,Rodrygo,br BRA,FW,Real Madrid,es La Liga,20,2001,16.9,558,673,82.9,7105,1627,384,411,93.4,128,160,80.0,18,51,35.3,4,1.6,+2.4,26,26,20,1,40,Matches,8f5e92a6
2299,Mads Roerslev,dk DEN,DF,Brentford,eng Premier League,22,1999,13.8,230,344,66.9,4264,1403,89,110,80.9,105,150,70.0,30,64,46.9,1,0.9,+0.1,9,12,10,9,26,Matches,57c94db2
2300,Marko Rog,hr CRO,MF,Cagliari,it Serie A,26,1995,3.5,122,147,83.0,1973,408,60,67,89.6,47,59,79.7,10,13,76.9,1,0.2,+0.8,5,10,1,0,6,Matches,b6b2b820
2301,Rogério,br BRA,DF,Sassuolo,it Serie A,23,1998,19.2,944,1139,82.9,16840,5226,422,470,89.8,390,441,88.4,111,187,59.4,1,2.2,-1.2,26,49,26,16,61,Matches,10e7f486
2302,Alessio Romagnoli,it ITA,DF,Milan,it Serie A,26,1995,15.7,877,980,89.5,17875,5644,242,272,89.0,488,512,95.3,122,160,76.3,0,0.1,-0.1,3,56,2,0,60,Matches,3ead85f9
2303,Simone Romagnoli,it ITA,DF,Empoli,it Serie A,31,1990,16.6,609,772,78.9,13294,5726,172,196,87.8,318,367,86.6,111,193,57.5,0,0.3,-0.3,5,48,8,0,47,Matches,09899de8
2304,Leonardo Román,es ESP,GK,Mallorca,es La Liga,21,2000,2.0,49,69,71.0,1460,824,10,10,100.0,19,19,100.0,20,40,50.0,0,0.0,0.0,0,1,0,0,0,Matches,924ff27e
2305,Cristian Romero,ar ARG,DF,Tottenham,eng Premier League,23,1998,20.5,1117,1278,87.4,22003,7095,398,434,91.7,558,591,94.4,150,222,67.6,0,0.5,-0.5,6,58,7,0,52,Matches,a3d94a58
2306,Iván Romero,es ESP,FW,Sevilla,es La Liga,20,2001,2.0,30,37,81.1,430,31,14,17,82.4,12,13,92.3,1,1,100.0,0,0.0,0.0,0,1,1,0,1,Matches,2fbe6af0
2307,Luka Romero,ar ARG,FW,Lazio,it Serie A,16,2004,0.9,33,35,94.3,581,40,14,14,100.0,16,17,94.1,3,3,100.0,0,0.0,0.0,1,1,1,1,0,Matches,ca6edaa0
2308,Sergio Romero,ar ARG,GK,Venezia,it Serie A,34,1987,16.0,421,590,71.4,12962,8067,87,88,98.9,154,163,94.5,176,335,52.5,0,0.2,-0.2,1,7,0,0,1,Matches,1e26e376
2309,Oriol Romeu,es ESP,MF,Southampton,eng Premier League,29,1991,32.1,1396,1685,82.8,26627,6081,608,701,86.7,572,664,86.1,192,266,72.2,2,2.8,-0.8,35,125,25,2,125,Matches,4b511457
2310,Cristiano Ronaldo,pt POR,FW,Manchester Utd,eng Premier League,36,1985,27.3,718,888,80.9,9995,1448,443,514,86.2,217,265,81.9,28,41,68.3,3,3.1,-0.1,24,37,16,0,49,Matches,dea698d9
2311,Cristiano Ronaldo,pt POR,FW,Juventus,it Serie A,36,1985,0.3,9,12,75.0,114,14,8,10,80.0,1,2,50.0,0,0,,0,0.0,0.0,1,0,0,0,0,Matches,dea698d9
2312,Salomón Rondón,ve VEN,FW,Everton,eng Premier League,31,1989,8.8,128,192,66.7,1600,237,80,107,74.8,26,48,54.2,5,9,55.6,1,0.7,+0.3,7,7,2,0,4,Matches,b318a643
2313,Valentin Rongier,fr FRA,DFMF,Marseille,fr Ligue 1,26,1994,24.4,1773,1962,90.4,31451,7877,788,846,93.1,788,860,91.6,171,204,83.8,1,1.1,-0.1,17,146,20,3,149,Matches,ed45c4a5
2314,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,28,1992,7.0,164,255,64.3,5455,3833,19,19,100.0,75,76,98.7,69,158,43.7,0,0.0,0.0,0,4,0,0,0,Matches,a70b8345
2315,Marten de Roon,nl NED,MFDF,Atalanta,it Serie A,30,1991,28.3,1443,1674,86.2,28562,8551,538,597,90.1,683,745,91.7,200,290,69.0,0,0.5,-0.5,9,137,24,0,139,Matches,2a1beb34
2316,Unai Ropero,es ESP,MF,Alavés,es La Liga,19,2001,0.1,2,2,100.0,19,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,7868c973
2317,Pablo Rosario,nl NED,MF,Nice,fr Ligue 1,24,1997,30.3,1528,1737,88.0,28949,6479,601,657,91.5,710,778,91.3,193,251,76.9,2,1.1,+0.9,21,139,16,4,138,Matches,1a6b7ea4
2318,Romario Rösch,de GER,MF,Mainz 05,de Bundesliga,22,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,87ebfdb8
2319,Danny Rose,eng ENG,DF,Watford,eng Premier League,31,1990,7.7,221,331,66.8,4636,2661,81,91,89.0,97,132,73.5,39,88,44.3,0,0.8,-0.8,5,24,7,1,32,Matches,89d10e53
2320,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,30,1991,0.4,11,16,68.8,313,209,2,2,100.0,7,7,100.0,2,7,28.6,0,0.0,0.0,0,0,0,0,0,Matches,7b5f516f
2321,Tom Rothe,de GER,DF,Dortmund,de Bundesliga,16,2004,1.0,40,55,72.7,651,251,22,26,84.6,17,21,81.0,1,6,16.7,0,0.1,-0.1,1,2,0,0,3,Matches,90c1f9a4
2322,Jérôme Roussillon,fr FRA,DF,Wolfsburg,de Bundesliga,28,1993,19.7,696,929,74.9,12825,4939,286,360,79.4,320,392,81.6,77,137,56.2,0,1.3,-1.3,15,40,17,7,74,Matches,13203c45
2323,Nicolò Rovella,it ITA,MF,Genoa,it Serie A,19,2001,16.3,762,957,79.6,15749,3943,305,325,93.8,297,340,87.4,150,269,55.8,3,2.4,+0.6,32,58,10,1,54,Matches,e58cbfd5
2324,Jon Rowe,eng ENG,FWMF,Norwich City,eng Premier League,18,2003,2.5,50,71,70.4,630,210,33,39,84.6,10,15,66.7,3,8,37.5,1,0.3,+0.7,4,2,2,0,4,Matches,8c12f884
2325,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,27,1994,32.5,1826,1999,91.3,36694,11632,639,680,94.0,900,951,94.6,257,328,78.4,0,0.2,-0.2,5,92,3,0,74,Matches,4b3e1a38
2326,Ruan,br BRA,DF,Sassuolo,it Serie A,22,1999,2.4,80,105,76.2,1275,673,39,46,84.8,37,48,77.1,3,10,30.0,0,0.1,-0.1,1,7,0,0,4,Matches,a378a02a
2327,Rubén,es ESP,DF,Espanyol,es La Liga,20,2001,1.7,46,70,65.7,797,215,26,30,86.7,16,26,61.5,4,12,33.3,1,0.5,+0.5,1,1,1,0,1,Matches,35d4f151
2328,John Ruddy,eng ENG,GK,Wolves,eng Premier League,34,1986,1.5,19,29,65.5,558,382,5,5,100.0,6,6,100.0,8,18,44.4,0,0.0,0.0,0,1,0,0,0,Matches,da8b19e2
2329,Antonio Rüdiger,de GER,DF,Chelsea,eng Premier League,28,1993,33.7,2162,2447,88.4,46177,13796,656,697,94.1,1137,1210,94.0,356,504,70.6,0,1.1,-1.1,13,220,29,4,161,Matches,18b896d6
2330,Sebastian Rudy,de GER,MF,Hoffenheim,de Bundesliga,31,1990,8.6,309,416,74.3,5649,1755,139,174,79.9,122,151,80.8,41,70,58.6,1,0.5,+0.5,7,26,3,2,40,Matches,80f36c88
2331,Daniele Rugani,it ITA,DF,Juventus,it Serie A,27,1994,9.8,494,545,90.6,10673,3030,127,131,96.9,274,294,93.2,90,115,78.3,0,0.0,0.0,1,26,0,0,20,Matches,14b8fcdf
2332,Matteo Ruggeri,it ITA,DF,Salernitana,it Serie A,19,2002,7.5,208,303,68.6,3850,1752,94,114,82.5,79,112,70.5,31,64,48.4,0,0.3,-0.3,4,12,7,6,19,Matches,ae9898c5
2333,Mário Rui,pt POR,DF,Napoli,it Serie A,30,1991,33.2,2071,2455,84.4,37733,12199,984,1073,91.7,800,898,89.1,258,409,63.1,5,3.3,+1.7,40,115,39,8,134,Matches,0b5a292a
2334,Aitor Ruibal,es ESP,FWDF,Betis,es La Liga,25,1996,9.5,262,340,77.1,4084,1396,146,168,86.9,94,117,80.3,16,32,50.0,0,0.7,-0.7,10,21,12,2,38,Matches,a55d8df5
2335,Isma Ruiz,es ESP,MF,Granada,es La Liga,20,2001,3.1,104,122,85.2,2033,273,35,40,87.5,51,57,89.5,15,20,75.0,0,0.1,-0.1,2,7,0,0,2,Matches,6e36226f
2336,Fabián Ruiz Peña,es ESP,MF,Napoli,it Serie A,25,1996,26.5,1971,2200,89.6,36408,8195,902,976,92.4,751,818,91.8,278,334,83.2,4,2.8,+1.2,36,183,36,4,147,Matches,c0c7ff58
2337,Víctor Ruiz,es ESP,DF,Betis,es La Liga,32,1989,15.8,783,898,87.2,17117,6232,224,245,91.4,392,426,92.0,156,207,75.4,0,0.1,-0.1,5,40,3,0,41,Matches,b3dc6eca
2338,Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,29,1992,32.0,1045,1281,81.6,29707,15681,141,144,97.9,552,558,98.9,350,577,60.7,0,0.0,0.0,0,17,1,0,1,Matches,625c144a
2339,Lukas Rupp,de GER,MF,Norwich City,eng Premier League,30,1991,8.5,327,393,83.2,5589,1339,162,177,91.5,122,141,86.5,33,52,63.5,0,1.2,-1.2,9,18,6,1,29,Matches,3faa1780
2340,Alessandro Russo,it ITA,MF,Salernitana,it Serie A,17,2003,0.3,4,6,66.7,28,12,4,4,100.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0,1,0,0,0,Matches,7152082d
2341,Franco Russo,ar ARG,DF,Mallorca,es La Liga,26,1994,16.3,497,653,76.1,11561,4490,131,160,81.9,236,286,82.5,122,190,64.2,0,0.0,0.0,0,25,1,0,38,Matches,b75ac54b
2342,Georginio Rutter,fr FRA,FWMF,Hoffenheim,de Bundesliga,19,2002,17.9,211,330,63.9,3335,829,110,155,71.0,63,90,70.0,23,44,52.3,2,3.0,-1.0,8,18,16,4,25,Matches,c64c01fc
2343,Mathew Ryan,au AUS,GK,Real Sociedad,es La Liga,29,1992,3.0,68,107,63.6,2178,1317,11,11,100.0,29,29,100.0,28,67,41.8,0,0.0,0.0,0,1,0,0,0,Matches,4535e4bb
2344,Julian Ryerson,no NOR,DF,Union Berlin,de Bundesliga,23,1997,15.9,493,653,75.5,9330,3205,218,256,85.2,198,240,82.5,71,125,56.8,0,1.9,-1.9,17,36,22,14,34,Matches,009a4f60
2345,José Sá,pt POR,GK,Wolves,eng Premier League,28,1993,36.5,740,1089,68.0,21883,12476,147,148,99.3,300,304,98.7,286,629,45.5,1,1.0,0.0,4,14,2,0,1,Matches,903b6e8b
2346,Roli Pereira de Sa,fr FRA,MF,Nantes,fr Ligue 1,24,1996,6.4,232,278,83.5,3871,990,119,137,86.9,83,94,88.3,24,31,77.4,0,0.6,-0.6,7,17,3,2,14,Matches,60f58477
2347,Youssouf Sabaly,sn SEN,DF,Betis,es La Liga,28,1993,8.8,419,499,84.0,6508,2257,216,231,93.5,166,194,85.6,25,48,52.1,1,0.6,+0.4,8,17,5,1,24,Matches,fbbb9269
2348,Mathys Saban,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,19,2002,0.8,13,18,72.2,191,56,8,11,72.7,3,4,75.0,1,1,100.0,0,0.0,0.0,0,1,2,0,2,Matches,7d9f3d69
2349,Stefano Sabelli,it ITA,DF,Genoa,it Serie A,28,1993,3.9,96,151,63.6,1687,728,42,58,72.4,47,62,75.8,6,19,31.6,0,0.1,-0.1,2,7,3,0,17,Matches,0ccac09c
2350,Abdelhamid Sabiri,de GER,MFFW,Sampdoria,it Serie A,24,1996,9.9,261,345,75.7,4853,1141,127,146,87.0,89,114,78.1,33,55,60.0,2,1.2,+0.8,11,28,7,1,25,Matches,4830e0af
2351,Marcel Sabitzer,at AUT,MFDF,Bayern Munich,de Bundesliga,27,1994,10.1,581,715,81.3,9537,2578,309,352,87.8,217,256,84.8,44,69,63.8,1,1.7,-0.7,10,42,14,2,54,Matches,e280527c
2352,Marcel Sabitzer,at AUT,MFFW,RB Leipzig,de Bundesliga,27,1994,0.5,42,49,85.7,885,237,20,22,90.9,14,15,93.3,8,12,66.7,0,0.0,0.0,0,7,1,0,4,Matches,e280527c
2353,Falaye Sacko,ml MLI,DF,Saint-Étienne,fr Ligue 1,26,1995,7.4,369,430,85.8,7196,2705,135,145,93.1,178,195,91.3,51,79,64.6,0,0.1,-0.1,3,35,0,0,26,Matches,6388e356
2354,Alexis Saelemaekers,be BEL,FW,Milan,it Serie A,22,1999,20.7,686,867,79.1,10344,2486,390,452,86.3,220,271,81.2,48,84,57.1,3,3.6,-0.6,36,39,26,9,67,Matches,ee251371
2355,Rafiki Said Ahamada,fr FRA,MFFW,Brest,fr Ligue 1,21,2000,1.4,47,59,79.7,763,251,27,31,87.1,13,14,92.9,6,9,66.7,0,0.1,-0.1,2,3,4,1,11,Matches,c2e5f306
2356,Wesley Saïd,fr FRA,FWMF,Lens,fr Ligue 1,26,1995,7.3,171,234,73.1,2974,720,85,100,85.0,65,87,74.7,16,32,50.0,0,0.8,-0.8,14,14,6,0,28,Matches,90fcf472
2357,Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,eng Premier League,24,1997,31.2,547,758,72.2,9115,2128,282,340,82.9,198,262,75.6,51,95,53.7,5,5.8,-0.8,51,45,32,9,56,Matches,2b16cb1a
2358,Romain Saïss,ma MAR,DF,Wolves,eng Premier League,31,1990,30.1,1415,1718,82.4,29554,13832,440,483,91.1,748,846,88.4,217,359,60.4,0,0.4,-0.4,6,150,2,0,120,Matches,9fbbcf39
2359,Bukayo Saka,eng ENG,FWMF,Arsenal,eng Premier League,19,2001,33.1,892,1184,75.3,13502,3277,514,604,85.1,293,376,77.9,58,126,46.0,7,6.9,+0.1,65,36,32,7,73,Matches,bc7dc64d
2360,Mamadou Sakho,fr FRA,DF,Montpellier,fr Ligue 1,31,1990,28.6,1409,1573,89.6,27542,11397,470,494,95.1,731,778,94.0,182,263,69.2,0,0.1,-0.1,2,65,2,0,91,Matches,87935cf3
2361,Bakary Sako,ml MLI,FWMF,Saint-Étienne,fr Ligue 1,33,1988,1.7,32,44,72.7,544,108,16,20,80.0,11,16,68.8,3,5,60.0,0,0.0,0.0,2,3,0,0,2,Matches,381d7d54
2362,Jacopo Sala,it ITA,MF,Spezia,it Serie A,29,1991,9.8,406,478,84.9,7357,1802,182,201,90.5,176,201,87.6,41,60,68.3,0,0.3,-0.3,6,28,6,2,40,Matches,da5a981b
2363,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,29,1992,30.7,869,1118,77.7,12439,3620,550,633,86.9,256,332,77.1,39,74,52.7,13,10.4,+2.6,61,35,61,8,123,Matches,e342ad68
2364,Eddie Salcedo,it ITA,MFFW,Spezia,it Serie A,19,2001,4.8,104,150,69.3,1921,482,48,73,65.8,36,47,76.6,19,25,76.0,0,0.2,-0.2,5,10,4,1,16,Matches,0489bb30
2365,William Saliba,fr FRA,DF,Marseille,fr Ligue 1,20,2001,36.0,2865,3058,93.7,56752,16714,925,977,94.7,1575,1631,96.6,349,408,85.5,0,0.8,-0.8,6,184,15,2,166,Matches,972aeb2a
2366,Romain Salin,fr FRA,GK,Rennes,fr Ligue 1,37,1984,1.0,29,32,90.6,849,494,7,7,100.0,12,12,100.0,10,13,76.9,0,0.0,0.0,0,1,0,0,0,Matches,74733221
