,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
94,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,353,517,68.3,6580,3092,145,184,78.8,165,225,73.3,36,87,41.4,0,0.2,-0.2,3,34,1,0,38,Matches,6ea23758
95,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,1429,1770,80.7,25809,7004,646,747,86.5,539,644,83.7,188,275,68.4,1,1.8,-0.8,15,132,14,1,141,Matches,ef9c1c95
96,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,131,164,79.9,1981,918,77,87,88.5,45,56,80.4,7,13,53.8,0,0.1,-0.1,2,4,4,2,9,Matches,3724baa1
97,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,832,1011,82.3,14784,4195,380,425,89.4,337,397,84.9,93,149,62.4,2,0.9,+1.1,10,87,9,0,89,Matches,e0b113a7
98,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12.0,599,788,76.0,13525,6115,206,243,84.8,262,315,83.2,127,214,59.3,1,1.3,-0.3,8,65,22,11,72,Matches,3024e383
99,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,1094,1508,72.5,20135,7818,518,576,89.9,393,513,76.6,153,359,42.6,5,5.9,-0.9,51,75,57,32,109,Matches,30941e96
100,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,4,11,36.4,66,27,2,2,100.0,2,4,50.0,0,4,0.0,0,0.0,0.0,0,1,0,0,0,Matches,39aa05a7
101,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,7.7,293,413,70.9,6045,2975,122,135,90.4,110,150,73.3,56,110,50.9,3,1.4,+1.6,16,44,15,11,47,Matches,bbafc0c4
102,Janis Antiste,fr FRA,FW,Spezia,it Serie A,18,2002,8.8,139,212,65.6,1967,412,79,112,70.5,46,64,71.9,6,15,40.0,0,0.3,-0.3,4,4,7,3,8,Matches,38d9ce53
103,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,1541,1801,85.6,33911,11215,436,471,92.6,824,896,92.0,265,400,66.3,1,1.5,-0.5,10,92,11,2,86,Matches,5e66fa06
104,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,20,25,80.0,317,70,11,11,100.0,4,7,57.1,3,5,60.0,0,0.0,0.0,0,1,0,0,0,Matches,4a5f2032
105,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,33.0,466,708,65.8,7552,1461,256,333,76.9,145,213,68.1,45,84,53.6,8,6.6,+1.4,46,26,32,13,43,Matches,ac05f970
106,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,27,1994,12.6,164,262,62.6,2616,816,90,121,74.4,60,90,66.7,11,30,36.7,1,0.9,+0.1,8,10,11,4,17,Matches,0a3f6cde
107,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,23,1998,27.8,1274,1460,87.3,20266,4917,703,764,92.0,430,485,88.7,105,143,73.4,4,5.1,-1.1,35,121,34,2,127,Matches,a5db0bec
108,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19,2002,12.0,480,631,76.1,8988,2285,237,277,85.6,139,172,80.8,79,135,58.5,4,1.6,+2.4,19,42,9,4,40,Matches,b94b8be1
109,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,776,995,78.0,14629,6615,320,362,88.4,337,414,81.4,111,185,60.0,0,0.3,-0.3,4,47,15,8,75,Matches,feb5d3ab
110,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,1995,29.6,947,1262,75.0,21303,5331,348,411,84.7,339,410,82.7,241,388,62.1,5,1.9,+3.1,40,85,13,5,65,Matches,58afe001
111,Mattia Aramu,it ITA,MFFW,Venezia,it Serie A,26,1995,23.3,529,804,65.8,9556,3370,246,301,81.7,197,263,74.9,74,193,38.3,5,4.4,+0.6,37,36,33,15,64,Matches,0847b5a5
112,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,17.5,911,1087,83.8,17479,5054,346,393,88.0,410,460,89.1,128,185,69.2,4,1.7,+2.3,16,86,11,2,88,Matches,56413b1f
113,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,1330,1520,87.5,29730,6600,331,364,90.9,710,762,93.2,281,372,75.5,0,0.2,-0.2,1,59,3,1,56,Matches,27a013f7
114,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,1485,1643,90.4,31687,8608,405,426,95.1,827,875,94.5,240,323,74.3,0,0.4,-0.4,6,85,5,2,77,Matches,2bef2bca
