,,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1609,Roger Martí,es ESP,FW,Elche,es La Liga,32-086,1991,7.3,5,2,3,2,0,1,5,20.0,4,4,0,4,1,6,7,0,Matches
1610,Roger Martí,es ESP,FW,Cádiz,es La Liga,32-086,1991,5.6,4,3,1,2,1,0,7,0.0,7,6,0,6,0,4,6,0,Matches
1611,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,27-115,1995,5.1,0,0,0,0,0,0,1,0.0,1,3,0,3,1,1,2,0,Matches
1612,Aarón Martín,es ESP,DF,Mainz 05,de Bundesliga,25-342,1997,16.5,32,22,19,9,4,16,25,64.0,9,14,1,13,13,45,24,0,Matches
1613,Ander Martin,es ESP,MFFW,Real Sociedad,es La Liga,22-134,2000,0.5,2,2,1,1,0,1,4,25.0,3,0,0,0,0,2,1,0,Matches
1614,Andrés Martín,es ESP,FWMF,Rayo Vallecano,es La Liga,23-262,1999,1.6,4,2,2,1,1,3,5,60.0,2,1,0,1,0,4,2,0,Matches
1615,Carlos Martín,es ESP,DF,Atlético Madrid,es La Liga,20-342,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1616,Iván Martín,es ESP,MF,Girona,es La Liga,24-044,1999,7.7,3,3,0,3,0,3,7,42.9,4,7,0,7,2,5,6,0,Matches
1617,Jonas Martin,fr FRA,MF,Lille,fr Ligue 1,32-355,1990,2.1,7,6,4,3,0,5,12,41.7,7,2,1,1,5,12,3,0,Matches
1618,Martinelli,br BRA,FW,Arsenal,eng Premier League,21-285,2001,25.0,19,11,8,5,6,3,14,21.4,11,20,1,19,8,27,11,0,Matches
1619,Arnau Martinez,es ESP,DF,Girona,es La Liga,19-339,2003,19.5,42,27,24,12,6,22,50,44.0,28,29,6,23,16,58,37,1,Matches
1620,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,30-209,1992,24.4,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,12,1,Matches
1621,Iñigo Martínez,es ESP,DF,Athletic Club,es La Liga,31-317,1991,12.0,14,6,9,5,0,5,8,62.5,3,14,9,5,16,30,45,0,Matches
1622,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,25-220,1997,23.7,22,11,2,13,7,6,16,37.5,10,27,1,26,11,33,12,1,Matches
1623,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,25-071,1998,20.6,44,22,27,15,2,27,38,71.1,11,45,24,21,28,72,90,0,Matches
1624,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,26-324,1996,17.1,60,34,33,25,2,30,43,69.8,13,31,16,15,34,94,62,1,Matches
1625,Roger Martínez,es ESP,DF,Espanyol,es La Liga,18-359,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1626,Gelson Martins,pt POR,MFFW,Monaco,fr Ligue 1,27-323,1995,3.8,15,8,6,4,5,4,13,30.8,9,4,1,3,3,18,2,0,Matches
1627,Adam Marušić,me MNE,DF,Lazio,it Serie A,30-164,1992,25.3,31,24,16,11,4,15,26,57.7,11,15,5,10,30,61,51,1,Matches
1628,Omar Mascarell,es ESP,MF,Elche,es La Liga,30-056,1993,22.2,40,20,22,16,2,21,49,42.9,28,38,12,26,30,70,37,1,Matches
1629,Adam Masina,ma MAR,DF,Udinese,it Serie A,29-087,1994,5.3,5,4,2,3,0,3,6,50.0,3,6,3,3,10,15,18,1,Matches
1630,Jordi Masip,es ESP,GK,Valladolid,es La Liga,34-086,1989,16.9,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,Matches
1631,Erhan Mašović,rs SRB,DF,Bochum,de Bundesliga,24-128,1998,15.5,38,25,20,18,0,21,35,60.0,14,21,10,11,16,54,53,0,Matches
1632,Han-Noah Massengo,fr FRA,MF,Auxerre,fr Ligue 1,21-266,2001,6.9,21,10,9,11,1,5,12,41.7,7,9,2,7,10,31,2,0,Matches
1633,Yanis Massolin,fr FRA,MF,Clermont Foot,fr Ligue 1,20-191,2002,0.7,2,1,1,0,1,0,1,0.0,1,1,0,1,2,4,0,0,Matches
1634,Jaime Mata,es ESP,FWMF,Getafe,es La Liga,34-157,1988,0.6,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,Matches
1635,Pape Matar Sarr,sn SEN,MF,Tottenham,eng Premier League,20-197,2002,1.6,6,5,4,1,1,3,7,42.9,4,2,1,1,5,11,4,0,Matches
1636,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,21-043,2002,9.0,13,5,5,8,0,5,13,38.5,8,10,3,7,10,23,10,1,Matches
1637,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,25-275,1997,7.7,6,1,2,3,1,1,3,33.3,2,3,1,2,3,9,15,0,Matches
1638,Nemanja Matić,rs SRB,MF,Roma,it Serie A,34-241,1988,15.8,37,19,19,14,4,14,23,60.9,9,18,3,15,19,56,18,1,Matches
1639,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,31-234,1991,9.1,12,6,10,2,0,9,15,60.0,6,6,2,4,11,23,38,3,Matches
1640,Henning Matriciani,de GER,DF,Schalke 04,de Bundesliga,23-016,2000,13.4,27,16,18,6,3,13,34,38.2,21,15,7,8,15,42,35,0,Matches
1641,Chrislain Matsima,fr FRA,DFMF,Lorient,fr Ligue 1,20-319,2002,2.5,0,0,0,0,0,0,0,,0,3,3,0,2,2,7,0,Matches
1642,Chrislain Matsima,fr FRA,DF,Monaco,fr Ligue 1,20-319,2002,1.4,3,2,1,1,1,1,2,50.0,1,1,1,0,1,4,3,0,Matches
1643,Jean Mattéo Bahoya,fr FRA,FWMF,Angers,fr Ligue 1,17-327,2005,0.3,2,1,0,1,1,1,1,100.0,0,2,0,2,0,2,0,0,Matches
1644,Azor Matusiwa,nl NED,MF,Reims,fr Ligue 1,24-336,1998,20.0,56,37,28,22,6,31,47,66.0,16,25,7,18,37,93,37,0,Matches
1645,Neal Maupay,fr FRA,FW,Everton,eng Premier League,26-228,1996,10.5,10,5,2,4,4,1,2,50.0,1,4,0,4,3,13,0,0,Matches
1646,Aïman Maurer,ma MAR,MF,Clermont Foot,fr Ligue 1,18-186,2004,4.4,2,1,1,1,0,1,6,16.7,5,0,0,0,2,4,5,0,Matches
1647,Stephy Mavididi,eng ENG,FW,Montpellier,fr Ligue 1,24-303,1998,10.5,16,13,6,6,4,10,19,52.6,9,14,0,14,3,19,8,0,Matches
1648,Konstantinos Mavropanos,gr GRE,DF,Stuttgart,de Bundesliga,25-109,1997,20.8,43,23,27,14,2,25,33,75.8,8,34,18,16,58,101,81,0,Matches
1649,Christian Mawissa,fr FRA,DF,Toulouse,fr Ligue 1,17-346,2005,1.1,2,0,1,1,0,1,3,33.3,2,0,0,0,3,5,1,0,Matches
1650,Philipp Max,de GER,DF,Eint Frankfurt,de Bundesliga,29-181,1993,5.2,9,7,4,4,1,4,12,33.3,8,7,0,7,1,10,5,0,Matches
1651,Eric Maxim Choupo-Moting,cm CMR,FW,Bayern Munich,de Bundesliga,34-007,1989,11.4,8,7,1,5,2,1,2,50.0,1,8,0,8,0,8,5,0,Matches
1652,Luís Maximiano,pt POR,GK,Lazio,it Serie A,24-084,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1653,Fernand Mayembo,cg CGO,DF,Ajaccio,fr Ligue 1,27-080,1996,6.4,6,4,5,1,0,3,6,50.0,3,2,0,2,7,13,32,0,Matches
1654,Borja Mayoral,es ESP,FW,Getafe,es La Liga,25-359,1997,23.6,9,4,7,2,0,5,26,19.2,21,15,0,15,2,11,8,0,Matches
1655,Noussair Mazraoui,ma MAR,DF,Bayern Munich,de Bundesliga,25-136,1997,6.3,17,12,3,6,8,8,14,57.1,6,5,1,4,6,23,14,0,Matches
1656,Pasquale Mazzocchi,it ITA,DF,Salernitana,it Serie A,27-246,1995,15.8,24,12,17,3,4,10,25,40.0,15,8,2,6,9,33,25,2,Matches
1657,Kevin Mbabu,ch SUI,DFFW,Fulham,eng Premier League,27-345,1995,1.6,3,2,2,1,0,1,3,33.3,2,2,0,2,3,6,3,0,Matches
1658,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,24-100,1998,21.3,6,2,0,2,4,2,9,22.2,7,4,0,4,4,10,3,0,Matches
1659,Mamadou Mbaye,sn SEN,DF,Cádiz,es La Liga,24-275,1998,6.2,6,3,4,2,0,3,4,75.0,1,7,5,2,3,9,40,1,Matches
1660,Chancel Mbemba,cd COD,DF,Marseille,fr Ligue 1,28-234,1994,25.4,33,21,20,12,1,18,25,72.0,7,24,12,12,35,68,80,0,Matches
1661,Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,23-235,1999,23.2,19,13,5,10,4,6,31,19.4,25,13,0,13,5,24,14,0,Matches
1662,Jason Mbock,fr FRA,MFFW,Angers,fr Ligue 1,23-149,1999,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1663,Nathanael Mbuku,fr FRA,FWMF,Reims,fr Ligue 1,21-014,2002,0.7,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,0,0,Matches
1664,Nathanael Mbuku,fr FRA,FW,Augsburg,de Bundesliga,21-014,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1665,James McArthur,sct SCO,MF,Crystal Palace,eng Premier League,35-174,1987,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1666,John McGinn,sct SCO,MF,Aston Villa,eng Premier League,28-163,1994,18.9,47,29,21,22,4,23,41,56.1,18,34,4,30,18,65,12,0,Matches
1667,Scott McKenna,sct SCO,DF,Nott'ham Forest,eng Premier League,26-138,1996,16.2,12,7,7,3,2,6,10,60.0,4,20,14,6,11,23,81,1,Matches
1668,Weston McKennie,us USA,MF,Leeds United,eng Premier League,24-214,1998,6.4,9,5,2,5,2,2,10,20.0,8,12,1,11,9,18,15,0,Matches
1669,Weston McKennie,us USA,MFDF,Juventus,it Serie A,24-214,1998,11.7,14,5,3,9,2,5,8,62.5,3,15,4,11,11,25,15,1,Matches
1670,Dwight McNeil,eng ENG,FWMF,Everton,eng Premier League,23-128,1999,17.8,46,30,28,7,11,15,33,45.5,18,29,2,27,20,66,21,0,Matches
1671,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,26-112,1996,9.6,25,17,12,8,5,8,13,61.5,5,10,4,6,11,36,38,0,Matches
1672,Gary Medel,cl CHI,MFDF,Bologna,it Serie A,35-239,1987,14.7,23,15,14,7,2,8,14,57.1,6,13,8,5,25,48,33,0,Matches
1673,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,23-306,1999,21.9,24,15,11,13,0,8,24,33.3,16,14,5,9,18,42,47,1,Matches
1674,Ben Mee,eng ENG,DF,Brentford,eng Premier League,33-190,1989,25.4,28,17,17,9,2,12,22,54.5,10,38,30,8,37,65,89,1,Matches
1675,Bamo Meïté,ci CIV,DF,Lorient,fr Ligue 1,21-283,2001,8.8,7,4,6,0,1,3,7,42.9,4,17,13,4,3,10,38,0,Matches
1676,Soualiho Meïté,fr FRA,MF,Cremonese,it Serie A,29-013,1994,15.4,30,19,16,9,5,15,32,46.9,17,15,2,13,17,47,18,0,Matches
1677,Farid El Melali,dz ALG,DFFW,Angers,fr Ligue 1,25-329,1997,6.8,17,11,5,10,2,8,12,66.7,4,11,0,11,7,24,3,0,Matches
1678,Gonzalo Melero,es ESP,MF,Almería,es La Liga,29-087,1994,12.5,21,10,4,14,3,5,15,33.3,10,12,0,12,3,24,14,1,Matches
1679,Birger Meling,no NOR,DF,Rennes,fr Ligue 1,28-103,1994,8.2,17,10,6,9,2,8,12,66.7,4,10,2,8,13,30,16,0,Matches
1680,Memphis,nl NED,FW,Barcelona,es La Liga,29-045,1994,1.3,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
1681,Memphis,nl NED,FW,Atlético Madrid,es La Liga,29-045,1994,2.9,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,Matches
1682,Houboulang Mendes,fr FRA,DF,Almería,es La Liga,24-330,1998,8.2,14,9,12,2,0,8,20,40.0,12,10,1,9,5,19,19,1,Matches
1683,Nuno Mendes,pt POR,DFMF,Paris S-G,fr Ligue 1,20-284,2002,14.1,36,26,24,10,2,27,36,75.0,9,13,2,11,13,49,14,0,Matches
1684,Thiago Mendes,br BRA,MFDF,Lyon,fr Ligue 1,31-015,1992,17.9,40,20,19,19,2,28,33,84.8,5,20,8,12,40,80,40,3,Matches
1685,Brais Méndez,es ESP,MF,Real Sociedad,es La Liga,26-082,1997,21.3,44,24,13,24,7,19,50,38.0,31,20,2,18,11,55,10,1,Matches
1686,Diego Méndez,es ESP,MF,Rayo Vallecano,es La Liga,19-213,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
1687,Antoine Mendy,fr FRA,DF,Nice,fr Ligue 1,18-307,2004,1.9,7,5,4,3,0,4,8,50.0,4,3,0,3,1,8,7,0,Matches
1688,Arial Mendy,sn SEN,DF,Clermont Foot,fr Ligue 1,28-143,1994,2.5,4,2,3,0,1,2,2,100.0,0,2,0,2,4,8,4,0,Matches
1689,Batista Mendy,fr FRA,MFDF,Angers,fr Ligue 1,23-077,2000,22.8,50,19,26,17,7,30,39,76.9,9,24,4,20,16,66,19,0,Matches
1690,Edouard Mendy,sn SEN,GK,Chelsea,eng Premier League,31-029,1992,8.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,Matches
1691,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,27-295,1995,12.8,17,9,12,5,0,11,18,61.1,7,6,2,4,13,30,12,0,Matches
1692,Nampalys Mendy,sn SEN,MF,Leicester City,eng Premier League,30-280,1992,6.8,10,6,5,5,0,7,13,53.8,6,15,3,12,11,21,2,0,Matches
1693,Gideon Mensah,gh GHA,DF,Auxerre,fr Ligue 1,24-255,1998,18.9,62,34,33,25,4,34,55,61.8,21,24,7,17,33,95,32,0,Matches
1694,Chris Mepham,wls WAL,DF,Bournemouth,eng Premier League,25-145,1997,19.4,33,16,27,6,0,11,18,61.1,7,33,23,10,20,53,118,0,Matches
1695,Jorge Meré,es ESP,DF,Cádiz,es La Liga,25-347,1997,0.8,3,2,2,1,0,2,2,100.0,0,1,0,1,0,3,4,0,Matches
1696,Alex Meret,it ITA,GK,Napoli,it Serie A,26-008,1997,26.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1,Matches
1697,Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,26-281,1996,17.8,54,31,19,26,9,21,37,56.8,16,26,8,18,15,69,39,0,Matches
1698,Quentin Merlin,fr FRA,DF,Nantes,fr Ligue 1,20-318,2002,14.1,22,13,14,6,2,12,25,48.0,13,18,4,14,18,40,21,0,Matches
1699,Yıldırım Mert Çetin,tr TUR,DF,Lecce,it Serie A,26-088,1997,0.2,1,0,1,0,0,0,0,,0,0,0,0,1,2,1,0,Matches
1700,Roque Mesa,es ESP,MF,Valladolid,es La Liga,33-296,1989,13.7,24,13,15,9,0,10,32,31.3,22,13,2,11,10,34,15,0,Matches
1701,Illan Meslier,fr FRA,GK,Leeds United,eng Premier League,23-028,2000,27.0,1,0,1,0,0,1,3,33.3,2,0,0,0,1,2,21,1,Matches
1702,Lionel Messi,ar ARG,FWMF,Paris S-G,fr Ligue 1,35-279,1987,22.5,20,14,1,10,9,7,20,35.0,13,8,0,8,0,20,0,0,Matches
1703,Junior Messias,br BRA,FWDF,Milan,it Serie A,31-321,1991,12.3,19,15,7,8,4,5,12,41.7,7,15,3,12,6,25,21,0,Matches
1704,Thomas Meunier,be BEL,DF,Dortmund,de Bundesliga,31-199,1991,6.5,16,7,8,5,3,10,17,58.8,7,7,2,5,9,25,16,0,Matches
1705,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,31-351,1991,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
1706,Sven Michel,de GER,FW,Union Berlin,de Bundesliga,32-258,1990,4.6,7,4,1,5,1,4,6,66.7,2,3,1,2,0,7,4,0,Matches
1707,Alexander Mighten,eng ENG,FW,Nott'ham Forest,eng Premier League,20-353,2002,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
1708,Tommaso Milanese,it ITA,MF,Cremonese,it Serie A,20-242,2002,0.3,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
1709,Nikola Milenković,rs SRB,DF,Fiorentina,it Serie A,25-169,1997,17.7,25,16,13,9,3,13,18,72.2,5,22,10,12,18,43,50,0,Matches
1710,Arkadiusz Milik,pl POL,FW,Juventus,it Serie A,29-030,1994,11.0,7,5,1,4,2,2,5,40.0,3,7,0,7,0,7,9,0,Matches
1711,Arkadiusz Milik,pl POL,FW,Marseille,fr Ligue 1,29-030,1994,1.4,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,2,0,Matches
1712,Sergej Milinković-Savić,rs SRB,MF,Lazio,it Serie A,28-031,1995,23.3,39,24,16,16,7,17,44,38.6,27,33,8,25,22,61,31,0,Matches
1713,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,26-038,1997,27.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,13,1,Matches
1714,Éder Militão,br BRA,DF,Real Madrid,es La Liga,25-071,1998,19.5,33,22,19,12,2,18,23,78.3,5,42,21,21,27,60,72,1,Matches
1715,Luka Milivojević,rs SRB,MF,Crystal Palace,eng Premier League,31-357,1991,4.6,11,6,6,3,2,6,7,85.7,1,11,3,8,12,23,10,0,Matches
1716,Luis Milla,es ESP,MF,Getafe,es La Liga,28-174,1994,15.2,38,25,18,13,7,18,35,51.4,17,11,1,10,22,60,17,1,Matches
1717,Pere Milla,es ESP,FWMF,Elche,es La Liga,30-188,1992,13.4,23,13,13,6,4,10,26,38.5,16,13,1,12,7,30,10,1,Matches
1718,Enzo Millot,fr FRA,MF,Stuttgart,de Bundesliga,20-256,2002,4.6,10,7,5,3,2,4,7,57.1,3,14,2,12,9,19,4,0,Matches
1719,James Milner,eng ENG,DFMF,Liverpool,eng Premier League,37-085,1986,8.0,19,10,8,8,3,12,29,41.4,17,12,2,10,12,31,13,0,Matches
1720,Marko Milovanović,rs SRB,FW,Almería,es La Liga,19-238,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1721,Kim Min-jae,kr KOR,DF,Napoli,it Serie A,26-135,1996,25.3,42,24,26,16,0,18,21,85.7,3,34,25,9,30,72,102,1,Matches
1722,Yerry Mina,co COL,DF,Everton,eng Premier League,28-188,1994,2.6,9,4,4,5,0,7,7,100.0,0,2,1,1,2,11,9,0,Matches
1723,Takumi Minamino,jp JPN,MFFW,Monaco,fr Ligue 1,28-073,1995,5.6,12,6,3,6,3,6,25,24.0,19,14,0,14,5,17,3,0,Matches
1724,Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,30-017,1993,24.0,10,3,6,4,0,5,13,38.5,8,28,15,13,36,46,104,2,Matches
1725,Óscar Mingueza,es ESP,DF,Celta Vigo,es La Liga,23-321,1999,12.7,33,17,24,8,1,21,27,77.8,6,9,3,6,10,43,25,0,Matches
1726,Rafa Mir,es ESP,FW,Sevilla,es La Liga,25-285,1997,9.0,6,1,2,3,1,1,3,33.3,2,1,0,1,2,8,8,0,Matches
1727,Aleksei Miranchuk,ru RUS,MF,Torino,it Serie A,27-164,1995,16.8,6,3,1,3,2,1,9,11.1,8,7,0,7,1,7,3,0,Matches
1728,Juan Miranda,es ESP,DF,Betis,es La Liga,23-070,2000,7.0,13,9,10,3,0,9,14,64.3,5,7,2,5,9,22,22,0,Matches
1729,Fabio Miretti,it ITA,MFFW,Juventus,it Serie A,19-239,2003,10.0,18,7,11,5,2,8,18,44.4,10,15,1,14,2,20,10,0,Matches
1730,Tyrick Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,23-210,1999,22.1,47,30,27,18,2,19,38,50.0,19,36,9,27,28,75,57,0,Matches
1731,Kaoru Mitoma,jp JPN,FWMF,Brighton,eng Premier League,25-314,1997,14.1,28,18,11,9,8,11,21,52.4,10,15,0,15,8,36,8,0,Matches
1732,Aleksandar Mitrović,rs SRB,FW,Fulham,eng Premier League,28-195,1994,20.1,14,7,8,4,2,5,10,50.0,5,20,5,15,3,17,19,1,Matches
1733,Stefan Mitrović,rs SRB,DF,Getafe,es La Liga,32-312,1990,12.6,5,3,4,1,0,2,5,40.0,3,7,7,0,11,16,65,2,Matches
1734,Maximilian Mittelstädt,de GER,DF,Hertha BSC,de Bundesliga,26-012,1997,7.1,32,15,24,6,2,13,26,50.0,13,10,1,9,20,52,24,0,Matches
1735,Henrikh Mkhitaryan,am ARM,MF,Inter,it Serie A,34-068,1989,17.2,31,20,10,17,4,12,29,41.4,17,25,4,21,12,43,13,0,Matches
1736,Anthony Modeste,fr FRA,FW,Dortmund,de Bundesliga,34-350,1988,8.9,4,4,2,0,2,2,5,40.0,3,6,0,6,2,6,21,0,Matches
1737,Luka Modrić,hr CRO,MF,Real Madrid,es La Liga,37-202,1985,15.7,15,6,6,5,4,9,22,40.9,13,12,5,7,9,24,6,0,Matches
1738,Terem Moffi,ng NGA,FW,Nice,fr Ligue 1,23-309,1999,5.5,1,0,0,1,0,0,4,0.0,4,0,0,0,0,1,1,0,Matches
1739,Terem Moffi,ng NGA,FW,Lorient,fr Ligue 1,23-309,1999,15.4,8,5,1,4,3,3,5,60.0,2,11,3,8,3,11,10,0,Matches
1740,Mostafa Mohamed,eg EGY,FW,Nantes,fr Ligue 1,25-122,1997,15.9,14,9,5,4,5,7,14,50.0,7,15,1,14,5,19,28,0,Matches
1741,Tobias Mohr,de GER,DFMF,Schalke 04,de Bundesliga,27-218,1995,8.7,7,4,3,4,0,2,7,28.6,5,13,5,8,8,15,19,0,Matches
1742,Johan Mojica,co COL,DF,Villarreal,es La Liga,30-221,1992,6.8,12,9,8,3,1,5,8,62.5,3,8,3,5,4,16,13,1,Matches
1743,Johan Mojica,co COL,DFMF,Elche,es La Liga,30-221,1992,3.0,6,3,5,1,0,2,3,66.7,1,3,2,1,4,10,5,0,Matches
1744,Clinton Mola,eng ENG,DF,Stuttgart,de Bundesliga,22-015,2001,0.2,3,1,2,1,0,1,1,100.0,0,1,1,0,1,4,2,0,Matches
1745,Nahuel Molina,ar ARG,DF,Atlético Madrid,es La Liga,24-358,1998,20.3,41,27,22,13,6,22,51,43.1,29,22,4,18,8,49,39,1,Matches
1746,Salvatore Molina,it ITA,DF,Monza,it Serie A,31-088,1992,2.5,6,5,2,4,0,4,5,80.0,1,4,2,2,1,7,2,0,Matches
1747,Florent Mollet,fr FRA,MF,Nantes,fr Ligue 1,31-131,1991,6.5,4,2,2,0,2,1,6,16.7,5,7,0,7,4,8,7,0,Matches
1748,Florent Mollet,fr FRA,MF,Schalke 04,de Bundesliga,31-131,1991,4.6,4,1,0,4,0,2,7,28.6,5,7,1,6,1,5,1,0,Matches
1749,Jon Moncayola,es ESP,MFDF,Osasuna,es La Liga,24-321,1998,19.2,37,26,18,11,8,21,47,44.7,26,26,4,22,11,48,24,2,Matches
1750,Monchu,es ESP,MF,Valladolid,es La Liga,23-198,1999,14.4,39,21,15,19,5,13,27,48.1,14,19,10,9,13,52,14,1,Matches
1751,César Montes,mx MEX,DF,Espanyol,es La Liga,26-034,1997,7.5,7,3,4,3,0,4,6,66.7,2,11,9,2,7,14,45,0,Matches
1752,Daniele Montevago,it ITA,FW,Sampdoria,it Serie A,20-012,2003,2.6,1,0,0,0,1,0,1,0.0,1,2,1,1,0,1,1,0,Matches
1753,Gonzalo Montiel,ar ARG,DF,Sevilla,es La Liga,26-088,1997,10.8,12,6,5,7,0,8,14,57.1,6,13,5,8,12,24,16,0,Matches
1754,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,27-038,1996,26.0,1,0,1,0,0,0,2,0.0,2,1,0,1,0,1,24,2,Matches
1755,Martín Montoya,es ESP,DF,Betis,es La Liga,31-350,1991,2.0,7,5,5,2,0,6,6,100.0,0,2,0,2,2,9,5,0,Matches
1756,Kieffer Moore,wls WAL,FW,Bournemouth,eng Premier League,30-234,1992,12.4,13,11,2,8,3,5,16,31.3,11,10,5,5,1,14,20,0,Matches
1757,Andrew Moran,ie IRL,FW,Brighton,eng Premier League,19-166,2003,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
1758,Álvaro Morata,es ESP,FW,Atlético Madrid,es La Liga,30-158,1992,15.0,13,8,4,6,3,2,6,33.3,4,8,3,5,0,13,17,0,Matches
1759,Jon Morcillo,es ESP,FWMF,Athletic Club,es La Liga,24-196,1998,0.8,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches
1760,Alberto Moreno,es ESP,DF,Villarreal,es La Liga,30-268,1992,9.4,11,3,2,7,2,5,16,31.3,11,10,1,9,14,25,19,0,Matches
1761,Álex Moreno,es ESP,DF,Aston Villa,eng Premier League,29-295,1993,6.4,9,6,7,1,1,7,20,35.0,13,11,3,8,3,12,10,2,Matches
1762,Álex Moreno,es ESP,DF,Betis,es La Liga,29-295,1993,15.0,29,22,19,10,0,18,36,50.0,18,17,4,13,17,46,39,0,Matches
1763,Diego Moreno,es ESP,DF,Osasuna,es La Liga,21-282,2001,5.9,4,4,2,2,0,3,6,50.0,3,5,2,3,1,5,15,0,Matches
1764,Gerard Moreno,es ESP,FW,Villarreal,es La Liga,30-357,1992,11.9,8,5,0,5,3,2,3,66.7,1,6,2,4,4,12,10,0,Matches
1765,Marlos Moreno,co COL,MFDF,Troyes,fr Ligue 1,26-191,1996,0.1,2,2,2,0,0,2,3,66.7,1,1,1,0,0,2,0,0,Matches
1766,Tete Morente,es ESP,MFDF,Elche,es La Liga,26-116,1996,12.0,18,12,10,7,1,8,20,40.0,12,15,2,13,11,29,15,0,Matches
1767,Ilaix Moriba,gn GUI,MF,Valencia,es La Liga,20-070,2003,8.6,26,13,9,14,3,11,17,64.7,6,9,1,8,3,29,10,0,Matches
1768,Manu Morlanes,es ESP,MF,Villarreal,es La Liga,24-077,1999,1.8,3,2,2,1,0,3,3,100.0,0,3,2,1,1,4,2,0,Matches
1769,Manu Morlanes,es ESP,MF,Mallorca,es La Liga,24-077,1999,0.3,2,1,2,0,0,0,1,0.0,1,1,0,1,0,2,1,0,Matches
1770,Nikola Moro,hr CRO,MF,Bologna,it Serie A,25-018,1998,7.7,19,10,8,7,4,8,19,42.1,11,8,1,7,4,23,10,0,Matches
1771,Loren Morón,es ESP,FW,Betis,es La Liga,29-090,1993,0.2,2,2,0,1,1,0,0,,0,0,0,0,0,2,1,0,Matches
1772,Cristhian Mosquera,co COL,DF,Valencia,es La Liga,18-276,2004,1.6,4,2,3,1,0,4,5,80.0,1,1,0,1,1,5,5,0,Matches
1773,Dany Mota,pt POR,FWMF,Monza,it Serie A,24-332,1998,13.0,5,4,0,2,3,1,3,33.3,2,5,1,4,2,7,15,0,Matches
1774,Lebo Mothiba,za RSA,FWMF,Strasbourg,fr Ligue 1,27-061,1996,3.3,1,0,1,0,0,0,1,0.0,1,2,0,2,0,1,4,0,Matches
1775,Youssoufa Moukoko,de GER,FW,Dortmund,de Bundesliga,18-130,2004,10.5,12,6,3,6,3,3,6,50.0,3,6,0,6,1,13,1,0,Matches
