,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2329,Jonjo Shelvey,eng ENG,MF,Nott'ham Forest,eng Premier League,31-031,1992,4.9,189,252,75.0,4003,1445,64,73,87.7,86,98,87.8,36,75,48.0,0,0.3,0.4,-0.3,5,29,5,1,29,Matches
2330,Eldor Shomurodov,uz UZB,FW,Spezia,it Serie A,27-274,1995,4.0,67,92,72.8,895,270,38,47,80.9,23,27,85.2,2,3,66.7,0,0.4,0.2,-0.4,6,6,1,0,11,Matches
2331,Eldor Shomurodov,uz UZB,FW,Roma,it Serie A,27-274,1995,1.3,25,33,75.8,371,69,15,19,78.9,9,11,81.8,1,1,100.0,0,0.0,0.0,0.0,0,0,1,0,4,Matches
2332,Kaj Sierhuis,nl NED,FWMF,Reims,fr Ligue 1,24-337,1998,0.6,6,12,50.0,106,12,3,4,75.0,2,6,33.3,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
2333,Vincent Sierro,ch SUI,MFFW,Toulouse,fr Ligue 1,27-173,1995,0.7,24,37,64.9,470,139,9,14,64.3,11,16,68.8,4,4,100.0,0,0.1,0.1,-0.1,1,4,0,0,6,Matches
2334,Kiliann Sildillia,fr FRA,DFMF,Freiburg,de Bundesliga,20-318,2002,19.3,682,964,70.7,12785,4494,278,355,78.3,288,398,72.4,100,153,65.4,2,0.6,1.2,+1.4,9,59,7,3,67,Matches
2335,André Silva,pt POR,FW,RB Leipzig,de Bundesliga,27-144,1995,17.1,324,439,73.8,3952,799,227,273,83.2,67,92,72.8,8,12,66.7,3,2.7,2.8,+0.3,25,16,11,0,33,Matches
2336,Bernardo Silva,pt POR,MFFW,Manchester City,eng Premier League,28-232,1994,19.8,1058,1240,85.3,17023,2956,566,612,92.5,376,429,87.6,80,126,63.5,5,2.8,3.4,+2.2,26,61,28,8,100,Matches
2337,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,25-242,1997,23.5,1097,1460,75.1,17558,6717,544,608,89.5,447,566,79.0,70,209,33.5,7,3.7,4.2,+3.3,35,97,25,7,141,Matches
2338,David Silva,es ESP,MF,Real Sociedad,es La Liga,37-081,1986,14.5,646,772,83.7,10126,2151,330,371,88.9,228,268,85.1,54,72,75.0,4,2.7,2.1,+1.3,24,65,27,2,110,Matches
2339,Rui Silva,pt POR,GK,Betis,es La Liga,29-051,1994,20.0,468,700,66.9,14505,10940,81,82,98.8,189,195,96.9,196,419,46.8,0,0.0,0.2,0.0,0,13,1,0,0,Matches
2340,Thiago Silva,br BRA,DF,Chelsea,eng Premier League,38-189,1984,20.1,1462,1619,90.3,27724,11096,536,565,94.9,776,809,95.9,139,216,64.4,2,0.4,0.6,+1.6,4,90,10,0,82,Matches
2341,Marco Silvestri,it ITA,GK,Udinese,it Serie A,32-028,1991,27.0,604,795,76.0,16159,12111,123,123,100.0,305,308,99.0,172,357,48.2,0,0.0,0.0,0.0,0,8,0,0,0,Matches
2342,Abdallah Sima,sn SEN,FW,Angers,fr Ligue 1,21-286,2001,14.9,189,258,73.3,2410,512,100,124,80.6,52,78,66.7,6,11,54.5,0,1.4,1.1,-1.4,12,11,4,1,16,Matches
2343,Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,22-331,2000,10.2,646,770,83.9,11055,3974,306,330,92.7,274,310,88.4,55,97,56.7,1,0.4,0.6,+0.6,5,55,10,2,62,Matches
2344,Giovanni Simeone,ar ARG,FW,Napoli,it Serie A,27-268,1995,2.5,44,68,64.7,629,152,21,30,70.0,14,23,60.9,3,4,75.0,0,0.8,0.2,-0.8,4,3,2,0,8,Matches
2345,Ellis Simms,eng ENG,FW,Everton,eng Premier League,22-084,2001,1.3,18,31,58.1,245,82,9,15,60.0,3,7,42.9,2,2,100.0,0,0.0,0.4,0.0,1,3,1,0,3,Matches
2346,Eduardo Simões,pt POR,DF,Hoffenheim,de Bundesliga,21-028,2002,1.0,60,68,88.2,1119,317,21,24,87.5,36,39,92.3,3,5,60.0,0,0.0,0.0,0.0,0,5,1,0,10,Matches
2347,Moses Simon,ng NGA,FWMF,Nantes,fr Ligue 1,27-261,1995,20.2,353,555,63.6,5807,1518,183,233,78.5,128,197,65.0,31,80,38.8,3,2.9,2.8,+0.1,34,29,20,12,45,Matches
2348,Unai Simón,es ESP,GK,Athletic Club,es La Liga,25-292,1997,21.5,472,644,73.3,13152,9693,68,69,98.6,261,267,97.8,142,304,46.7,0,0.0,0.0,0.0,0,11,0,0,2,Matches
2349,Lassine Sinayoko,ml MLI,MFFW,Auxerre,fr Ligue 1,23-112,1999,14.4,346,465,74.4,4963,1439,194,247,78.5,109,144,75.7,19,35,54.3,2,1.8,1.1,+0.2,14,28,23,6,60,Matches
2350,Wilfried Singo,ci CIV,DF,Torino,it Serie A,22-095,2000,15.4,586,785,74.6,9900,2943,275,318,86.5,254,339,74.9,43,86,50.0,1,1.1,1.1,-0.1,14,30,15,5,47,Matches
2351,Luis Sinisterra,co COL,FW,Leeds United,eng Premier League,23-286,1999,6.0,181,220,82.3,2520,613,94,110,85.5,56,62,90.3,9,11,81.8,0,0.2,0.5,-0.2,4,12,8,1,21,Matches
2352,Daley Sinkgraven,nl NED,DFMF,Leverkusen,de Bundesliga,27-269,1995,3.6,152,198,76.8,2374,659,90,100,90.0,47,61,77.0,13,30,43.3,1,1.0,0.3,0.0,5,10,1,1,8,Matches
2353,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,35-008,1988,5.7,174,260,66.9,4274,3193,44,45,97.8,85,86,98.8,43,127,33.9,0,0.0,0.0,0.0,0,3,0,0,0,Matches
2354,Hugo Siquet,be BEL,DF,Freiburg,de Bundesliga,20-264,2002,0.2,5,7,71.4,59,44,4,4,100.0,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2355,Salvatore Sirigu,it ITA,GK,Fiorentina,it Serie A,36-077,1987,1.0,28,38,73.7,930,572,2,2,100.0,12,12,100.0,14,24,58.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2356,Ibrahima Sissoko,fr FRA,MF,Strasbourg,fr Ligue 1,25-154,1997,9.7,297,400,74.3,4669,1229,152,191,79.6,113,146,77.4,20,32,62.5,0,0.2,0.4,-0.2,4,25,4,2,34,Matches
2357,Moussa Sissoko,fr FRA,MF,Nantes,fr Ligue 1,33-226,1989,16.4,462,583,79.2,7597,2191,213,257,82.9,189,225,84.0,35,51,68.6,0,0.8,0.8,-0.8,14,57,8,5,73,Matches
2358,Tim Skarke,de GER,DFMF,Union Berlin,de Bundesliga,26-204,1996,0.6,22,36,61.1,338,71,11,16,68.8,11,14,78.6,0,5,0.0,0,0.0,0.0,0.0,1,1,1,1,0,Matches
2359,Tim Skarke,de GER,FWMF,Schalke 04,de Bundesliga,26-204,1996,2.4,43,74,58.1,737,219,20,27,74.1,17,30,56.7,5,8,62.5,0,0.4,0.4,-0.4,6,3,2,2,7,Matches
2360,Ellyes Skhiri,tn TUN,MF,Köln,de Bundesliga,27-324,1995,23.7,1079,1237,87.2,19299,5788,434,484,89.7,529,580,91.2,99,118,83.9,1,1.4,1.5,-0.4,20,80,10,2,124,Matches
2361,Oliver Skipp,eng ENG,MF,Tottenham,eng Premier League,22-195,2000,7.2,302,357,84.6,4840,1328,152,168,90.5,122,136,89.7,19,27,70.4,0,0.4,0.2,-0.4,7,23,5,1,35,Matches
2362,Leo Skiri Østigård,no NOR,DF,Napoli,it Serie A,23-122,1999,2.7,176,206,85.4,3589,1111,56,66,84.8,88,97,90.7,26,33,78.8,0,0.0,0.0,0.0,0,14,0,0,9,Matches
2363,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,31-329,1991,27.0,707,913,77.4,18983,12866,129,130,99.2,313,317,98.7,239,437,54.7,0,0.0,0.0,0.0,0,2,0,0,0,Matches
2364,Robert Skov,dk DEN,DF,Hoffenheim,de Bundesliga,26-314,1996,13.7,473,671,70.5,8543,2993,210,248,84.7,204,278,73.4,50,106,47.2,2,1.8,2.3,+0.2,21,31,21,9,44,Matches
2365,Milan Škriniar,sk SVK,DF,Inter,it Serie A,28-047,1995,19.7,1275,1397,91.3,23769,7731,445,479,92.9,707,739,95.7,103,144,71.5,0,0.3,0.4,-0.3,6,79,4,1,81,Matches
2366,Naatan Skyttä,fi FIN,MF,Toulouse,fr Ligue 1,20-327,2002,0.3,7,11,63.6,87,19,4,6,66.7,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,3,Matches
2367,Islam Slimani,dz ALG,FW,Brest,fr Ligue 1,34-285,1988,11.0,261,367,71.1,3733,663,143,192,74.5,87,117,74.4,13,21,61.9,1,1.2,1.5,-0.2,13,22,4,0,26,Matches
2368,Chris Smalling,eng ENG,DF,Roma,it Serie A,33-128,1989,25.7,896,1036,86.5,17111,5579,271,298,90.9,538,589,91.3,78,119,65.5,1,0.4,0.4,+0.6,4,24,3,0,39,Matches
2369,Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,31-335,1991,24.4,722,952,75.8,12374,5482,350,396,88.4,293,371,79.0,68,150,45.3,1,0.7,1.0,+0.3,9,58,19,12,69,Matches
2370,Emile Smith Rowe,eng ENG,FWMF,Arsenal,eng Premier League,22-245,2000,1.3,57,66,86.4,781,167,33,36,91.7,21,24,87.5,2,3,66.7,1,0.6,0.5,+0.4,5,2,3,0,4,Matches
2371,Hrvoje Smolčić,hr CRO,DF,Eint Frankfurt,de Bundesliga,22-225,2000,5.2,287,355,80.8,5494,2389,96,111,86.5,166,188,88.3,23,45,51.1,0,0.0,0.1,0.0,0,8,0,0,18,Matches
2372,Cédric Soares,pt POR,DF,Arsenal,eng Premier League,31-211,1991,0.3,19,24,79.2,257,54,10,10,100.0,8,10,80.0,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,3,Matches
2373,Cédric Soares,pt POR,DF,Fulham,eng Premier League,31-211,1991,0.1,8,14,57.1,107,53,6,7,85.7,2,4,50.0,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
2374,Danilo Soares,br BRA,DF,Bochum,de Bundesliga,31-152,1991,15.2,549,750,73.2,9854,3554,245,288,85.1,226,302,74.8,67,119,56.3,0,1.1,0.9,-1.1,7,55,9,2,66,Matches
2375,Eduard Sobol,ua UKR,DF,Strasbourg,fr Ligue 1,27-344,1995,5.6,157,213,73.7,2499,840,85,101,84.2,58,82,70.7,8,21,38.1,1,0.4,0.1,+0.6,2,13,1,0,17,Matches
2376,Rubén Sobrino,es ESP,MFFW,Cádiz,es La Liga,30-302,1992,17.3,272,374,72.7,3517,964,159,205,77.6,83,98,84.7,8,17,47.1,1,0.9,0.7,+0.1,13,17,2,1,23,Matches
2377,Alex Sola,es ESP,DF,Real Sociedad,es La Liga,23-294,1999,3.8,155,194,79.9,2695,666,59,67,88.1,78,90,86.7,13,26,50.0,0,0.1,0.1,-0.1,2,6,1,1,4,Matches
2378,Dominic Solanke,eng ENG,FWMF,Bournemouth,eng Premier League,25-197,1997,20.9,220,324,67.9,2880,670,140,183,76.5,59,78,75.6,10,14,71.4,4,2.5,1.4,+1.5,12,14,6,0,28,Matches
2379,Augusto Solari,ar ARG,MFFW,Celta Vigo,es La Liga,31-086,1992,2.4,84,110,76.4,1222,338,47,53,88.7,29,36,80.6,5,10,50.0,1,0.2,0.3,+0.8,3,7,2,0,11,Matches
2380,Ola Solbakken,no NOR,MFFW,Roma,it Serie A,24-204,1998,1.2,31,45,68.9,654,162,9,14,64.3,15,19,78.9,6,10,60.0,0,0.0,0.2,0.0,0,4,2,1,6,Matches
2381,Nikola Soldo,hr CRO,DF,Köln,de Bundesliga,22-064,2001,6.6,270,348,77.6,5661,1561,61,74,82.4,174,191,91.1,35,72,48.6,0,0.0,0.0,0.0,1,11,1,0,15,Matches
2382,Carlos Soler,es ESP,MF,Valencia,es La Liga,26-087,1997,2.7,92,123,74.8,1388,378,52,59,88.1,23,28,82.1,9,24,37.5,0,0.2,0.2,-0.2,4,5,4,0,13,Matches
2383,Carlos Soler,es ESP,MF,Paris S-G,fr Ligue 1,26-087,1997,9.4,394,465,84.7,5530,1383,233,266,87.6,118,133,88.7,19,31,61.3,2,1.3,1.3,+0.7,11,32,4,1,41,Matches
2384,François-Joseph Sollacaro,fr FRA,GK,Ajaccio,fr Ligue 1,29-009,1994,3.0,35,63,55.6,990,776,8,8,100.0,11,13,84.6,14,40,35.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
2385,Manor Solomon,il ISR,FW,Fulham,eng Premier League,23-249,1999,3.1,86,102,84.3,1251,342,47,54,87.0,34,38,89.5,1,4,25.0,0,0.1,0.2,-0.1,3,3,3,0,15,Matches
2386,Yann Sommer,ch SUI,GK,Bayern Munich,de Bundesliga,34-103,1988,10.0,364,417,87.3,8343,5467,84,84,100.0,201,204,98.5,78,126,61.9,0,0.0,0.0,0.0,0,4,0,0,1,Matches
2387,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,34-103,1988,10.0,499,609,81.9,11448,7432,124,125,99.2,280,285,98.2,94,196,48.0,0,0.0,0.0,0.0,0,5,0,0,0,Matches
2388,Brandon Soppy,fr FRA,DF,Udinese,it Serie A,21-037,2002,1.0,22,32,68.8,322,140,13,14,92.9,7,10,70.0,1,6,16.7,0,0.2,0.0,-0.2,2,2,1,0,4,Matches
2389,Brandon Soppy,fr FRA,DF,Atalanta,it Serie A,21-037,2002,6.3,212,279,76.0,3095,1286,118,134,88.1,79,106,74.5,9,21,42.9,3,1.3,1.0,+1.7,9,23,7,2,30,Matches
2390,David Soria,es ESP,GK,Getafe,es La Liga,29-360,1993,26.0,428,756,56.6,18879,16319,26,28,92.9,100,105,95.2,302,618,48.9,0,0.1,0.1,-0.1,2,26,1,0,0,Matches
2391,Roberto Soriano,it ITA,FWMF,Bologna,it Serie A,32-050,1991,13.9,451,561,80.4,6457,1919,284,325,87.4,128,157,81.5,25,39,64.1,3,2.5,1.5,+0.5,20,35,10,2,55,Matches
2392,Borna Sosa,hr CRO,DF,Stuttgart,de Bundesliga,25-068,1998,15.0,698,967,72.2,11728,5129,359,410,87.6,250,351,71.2,70,165,42.4,6,4.4,6.3,+1.6,45,50,41,26,76,Matches
2393,Joaquin Sosa,uy URU,DF,Bologna,it Serie A,21-079,2002,6.6,238,299,79.6,5140,1836,66,80,82.5,130,146,89.0,39,66,59.1,0,0.0,0.1,0.0,0,14,0,0,9,Matches
2394,Hugo Sotelo,es ESP,MF,Celta Vigo,es La Liga,19-101,2003,0.2,20,23,87.0,265,86,11,12,91.7,9,9,100.0,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
2395,Florian Sotoca,fr FRA,FWMF,Lens,fr Ligue 1,32-156,1990,25.5,838,1098,76.3,14411,3975,387,464,83.4,319,417,76.5,90,134,67.2,7,7.0,5.3,0.0,49,89,43,14,143,Matches
2396,Riccardo Sottil,it ITA,FW,Fiorentina,it Serie A,23-300,1999,5.0,134,165,81.2,2330,426,61,68,89.7,59,74,79.7,13,17,76.5,2,1.0,0.6,+1.0,11,10,4,1,19,Matches
2397,Tomáš Souček,cz CZE,MF,West Ham,eng Premier League,28-031,1995,22.2,537,736,73.0,8928,2691,267,349,76.5,199,256,77.7,51,76,67.1,1,0.9,0.8,+0.1,11,49,9,4,70,Matches
2398,Matìas Soulé,ar ARG,MFDF,Juventus,it Serie A,19-349,2003,3.6,116,140,82.9,1864,352,65,72,90.3,32,40,80.0,15,21,71.4,0,0.4,0.3,-0.4,8,6,2,1,9,Matches
2399,Moussa Soumano,fr FRA,FWMF,Ajaccio,fr Ligue 1,17-264,2005,2.3,13,23,56.5,164,26,10,14,71.4,3,4,75.0,0,0,,0,0.1,0.1,-0.1,3,0,1,1,0,Matches
2400,Adama Soumaoro,fr FRA,DF,Bologna,it Serie A,30-285,1992,15.7,735,793,92.7,13943,4545,252,265,95.1,416,439,94.8,60,70,85.7,0,0.0,0.1,0.0,1,22,1,0,35,Matches
2401,Boubakary Soumaré,fr FRA,MF,Leicester City,eng Premier League,24-031,1999,10.3,483,547,88.3,7238,1909,268,286,93.7,177,204,86.8,22,27,81.5,0,0.2,0.2,-0.2,5,37,2,1,41,Matches
2402,Arnaud Souquet,fr FRA,DFFW,Montpellier,fr Ligue 1,31-046,1992,4.0,104,137,75.9,1509,690,65,75,86.7,29,40,72.5,4,10,40.0,0,0.5,0.3,-0.5,3,7,1,1,10,Matches
2403,Dyego Sousa,pt POR,FW,Almería,es La Liga,33-197,1989,4.1,73,108,67.6,951,233,39,56,69.6,27,35,77.1,1,4,25.0,1,0.8,0.8,+0.2,6,0,4,0,10,Matches
2404,Harry Souttar,au AUS,DF,Leicester City,eng Premier League,24-159,1998,7.0,330,397,83.1,6126,2444,104,114,91.2,200,229,87.3,22,40,55.0,1,0.2,0.1,+0.8,2,30,1,0,25,Matches
2405,Vinicius Souza,br BRA,MF,Espanyol,es La Liga,23-286,1999,22.5,626,779,80.4,10746,2890,291,331,87.9,252,302,83.4,62,95,65.3,0,0.4,0.5,-0.4,8,74,3,1,73,Matches
2406,Djibril Sow,ch SUI,MF,Eint Frankfurt,de Bundesliga,26-052,1997,21.7,991,1168,84.8,16924,5176,427,485,88.0,472,521,90.6,67,99,67.7,0,0.8,1.0,-0.8,12,95,15,1,137,Matches
2407,Çağlar Söyüncü,tr TUR,DF,Leicester City,eng Premier League,26-311,1996,0.9,39,49,79.6,667,208,17,18,94.4,21,26,80.8,1,5,20.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches
2408,Kevin Spadanuda,ch SUI,MFFW,Ajaccio,fr Ligue 1,26-073,1997,5.8,109,134,81.3,1586,252,62,75,82.7,38,46,82.6,3,6,50.0,0,0.2,0.2,-0.2,5,9,0,0,10,Matches
2409,Djed Spence,eng ENG,FWDF,Tottenham,eng Premier League,22-233,2000,0.1,5,9,55.6,60,4,4,5,80.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2410,Djed Spence,eng ENG,DF,Rennes,fr Ligue 1,22-233,2000,6.3,266,302,88.1,4048,856,131,145,90.3,123,137,89.8,5,11,45.5,0,0.1,0.2,-0.1,1,22,5,1,21,Matches
2411,Stijn Spierings,nl NED,MF,Toulouse,fr Ligue 1,27-018,1996,28.0,1387,1635,84.8,25161,7882,606,681,89.0,571,636,89.8,164,235,69.8,0,1.9,1.4,-1.9,19,160,20,4,184,Matches
2412,Leonardo Spinazzola,it ITA,DF,Roma,it Serie A,30-005,1993,13.5,543,710,76.5,9461,3058,250,285,87.7,229,289,79.2,51,95,53.7,3,1.3,1.2,+1.7,14,23,20,8,42,Matches
2413,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,30-324,1992,6.9,194,242,80.2,5332,3655,32,32,100.0,107,109,98.2,55,101,54.5,0,0.0,0.0,0.0,0,1,0,0,2,Matches
2414,Jack Stacey,eng ENG,DF,Bournemouth,eng Premier League,26-358,1996,3.3,72,126,57.1,1054,369,41,52,78.8,26,47,55.3,3,12,25.0,0,0.0,0.0,0.0,0,6,1,1,2,Matches
2415,Anton Stach,de GER,MF,Mainz 05,de Bundesliga,24-135,1998,16.9,458,682,67.2,7392,2771,232,308,75.3,161,228,70.6,43,88,48.9,3,2.5,3.0,+0.5,25,54,17,3,88,Matches
2416,Kostas Stafylidis,gr GRE,DFMF,Bochum,de Bundesliga,29-118,1993,8.9,248,345,71.9,4851,1793,100,114,87.7,111,146,76.0,34,69,49.3,2,0.3,0.4,+1.7,4,19,5,4,25,Matches
2417,Jens Stage,dk DEN,MF,Werder Bremen,de Bundesliga,26-142,1996,13.4,279,413,67.6,4090,1254,163,205,79.5,94,131,71.8,11,30,36.7,1,0.8,1.3,+0.2,12,23,14,3,42,Matches
2418,Josip Stanišić,hr CRO,DF,Bayern Munich,de Bundesliga,22-362,2000,5.2,456,503,90.7,7405,2190,230,245,93.9,188,202,93.1,31,45,68.9,0,0.4,0.7,-0.4,3,30,10,3,59,Matches
2419,Junior Stanislas,eng ENG,MF,Bournemouth,eng Premier League,33-124,1989,0.7,22,28,78.6,329,71,12,14,85.7,9,11,81.8,0,1,0.0,0,0.1,0.2,-0.1,2,3,0,0,4,Matches
2420,Jay Stansfield,eng ENG,FW,Fulham,eng Premier League,20-126,2002,1.0,9,23,39.1,82,32,7,8,87.5,1,7,14.3,0,3,0.0,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
2421,Niklas Stark,de GER,DF,Werder Bremen,de Bundesliga,27-350,1995,14.6,719,869,82.7,14800,5606,209,233,89.7,400,452,88.5,106,161,65.8,0,0.3,0.3,-0.3,3,46,4,0,48,Matches
2422,Jason Steele,eng ENG,GK,Brighton,eng Premier League,32-224,1990,3.0,97,109,89.0,1804,1267,48,48,100.0,34,34,100.0,14,26,53.8,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2423,Calvin Stengs,nl NED,FW,Nice,fr Ligue 1,24-102,1998,2.4,82,100,82.0,1288,254,45,55,81.8,31,34,91.2,3,7,42.9,0,0.1,0.4,-0.1,1,11,2,0,12,Matches
2424,Pascal Stenzel,de GER,DF,Stuttgart,de Bundesliga,27-010,1996,3.6,170,218,78.0,3726,1391,68,75,90.7,57,71,80.3,44,66,66.7,1,0.6,0.6,+0.4,8,10,4,2,12,Matches
2425,Jack Stephens,eng ENG,DF,Southampton,eng Premier League,29-062,1994,0.5,23,28,82.1,398,107,9,10,90.0,13,17,76.5,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches
2426,Jack Stephens,eng ENG,DF,Bournemouth,eng Premier League,29-062,1994,8.0,192,243,79.0,3886,1426,61,68,89.7,102,122,83.6,26,44,59.1,0,0.2,0.2,-0.2,3,11,2,2,12,Matches
2427,Raheem Sterling,eng ENG,FWMF,Chelsea,eng Premier League,28-112,1994,14.9,363,489,74.2,4609,1028,225,268,84.0,98,134,73.1,14,24,58.3,2,3.5,2.5,-1.5,26,19,25,7,42,Matches
2428,Angelo Stiller,de GER,MF,Hoffenheim,de Bundesliga,21-360,2001,6.6,227,304,74.7,3522,955,129,155,83.2,72,89,80.9,17,28,60.7,1,0.5,0.5,+0.5,3,17,5,0,29,Matches
2429,Lars Stindl,de GER,FWMF,M'Gladbach,de Bundesliga,34-216,1988,14.2,428,540,79.3,6560,1846,229,270,84.8,145,174,83.3,29,44,65.9,6,3.9,2.8,+2.1,25,45,14,0,54,Matches
2430,Kevin Stöger,at AUT,MF,Bochum,de Bundesliga,29-215,1993,21.5,833,1200,69.4,15262,5749,378,459,82.4,302,414,72.9,123,240,51.3,1,4.1,5.4,-3.1,50,112,32,8,148,Matches
2431,Petar Stojanović,si SVN,DF,Empoli,it Serie A,27-174,1995,15.3,718,906,79.2,12314,4617,368,420,87.6,266,324,82.1,74,123,60.2,1,0.9,1.0,+0.1,16,52,18,5,81,Matches
2432,John Stones,eng ENG,DF,Manchester City,eng Premier League,28-306,1994,14.1,1044,1121,93.1,17789,5130,487,510,95.5,468,494,94.7,75,93,80.6,2,1.3,0.8,+0.7,6,79,2,0,77,Matches
2433,Jørgen Strand Larsen,no NOR,FW,Celta Vigo,es La Liga,23-052,2000,13.9,172,253,68.0,2146,314,102,146,69.9,40,60,66.7,7,12,58.3,3,1.9,1.0,+1.1,8,10,2,0,10,Matches
2434,Gabriel Strefezza,br BRA,FW,Lecce,it Serie A,25-346,1997,19.5,392,644,60.9,7295,2329,191,247,77.3,122,194,62.9,69,148,46.6,1,2.4,2.4,-1.4,29,44,25,12,67,Matches
2435,Dávid Strelec,sk SVK,FW,Spezia,it Serie A,21-360,2001,1.9,25,43,58.1,294,30,19,27,70.4,5,9,55.6,0,1,0.0,0,0.1,0.1,-0.1,1,1,0,0,1,Matches
2436,Pascal Struijk,nl NED,DF,Leeds United,eng Premier League,23-231,1999,18.7,853,1081,78.9,12203,5590,498,565,88.1,293,369,79.4,35,77,45.5,1,2.3,1.1,-1.3,12,77,12,3,102,Matches
2437,Cristhian Stuani,uy URU,FW,Girona,es La Liga,36-169,1986,7.9,80,107,74.8,985,98,51,62,82.3,17,27,63.0,4,6,66.7,0,0.9,0.6,-0.9,6,5,3,0,9,Matches
2438,Damián Suárez,uy URU,DFMF,Getafe,es La Liga,34-337,1988,12.3,428,618,69.3,7563,3383,212,254,83.5,156,203,76.8,47,122,38.5,0,1.1,1.0,-1.1,16,35,13,6,54,Matches
2439,Denis Suárez,es ESP,MF,Espanyol,es La Liga,29-083,1994,4.1,138,175,78.9,2113,560,80,93,86.0,46,53,86.8,10,25,40.0,0,0.7,0.8,-0.7,7,12,3,1,15,Matches
2440,Mario Suárez,es ESP,DFMF,Rayo Vallecano,es La Liga,36-034,1987,0.1,2,3,66.7,28,6,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2441,Gabriel Suazo,cl CHI,DF,Toulouse,fr Ligue 1,25-233,1997,6.8,362,423,85.6,5704,2311,188,207,90.8,139,159,87.4,24,31,77.4,1,0.4,0.5,+0.6,5,26,6,2,38,Matches
2442,Isaac Success,ng NGA,FW,Udinese,it Serie A,27-082,1996,17.9,335,524,63.9,4877,1007,184,262,70.2,92,133,69.2,28,46,60.9,6,3.9,3.2,+2.1,27,20,18,1,49,Matches
2443,Niklas Süle,de GER,DF,Dortmund,de Bundesliga,27-208,1995,15.8,1111,1237,89.8,20759,6725,452,484,93.4,486,528,92.0,150,182,82.4,3,1.8,1.0,+1.2,11,67,5,1,89,Matches
2444,Ibrahim Sulemana,gh GHA,MF,Hellas Verona,it Serie A,19-312,2003,4.0,73,103,70.9,1357,489,31,36,86.1,31,39,79.5,9,16,56.3,0,0.2,0.1,-0.2,3,14,1,1,11,Matches
2445,Kamaldeen Sulemana,gh GHA,FWMF,Southampton,eng Premier League,21-043,2002,5.8,113,157,72.0,1723,378,57,72,79.2,36,43,83.7,10,21,47.6,0,0.4,0.4,-0.4,9,8,6,1,22,Matches
2446,Kamaldeen Sulemana,gh GHA,FWMF,Rennes,fr Ligue 1,21-043,2002,3.6,127,155,81.9,2261,415,64,73,87.7,43,48,89.6,16,22,72.7,0,0.6,0.9,-0.6,6,7,5,2,18,Matches
2447,Crysencio Summerville,nl NED,FW,Leeds United,eng Premier League,21-151,2001,11.3,243,327,74.3,3078,908,159,198,80.3,60,76,78.9,8,21,38.1,2,1.2,0.7,+0.8,10,14,11,2,32,Matches
2448,Ivan Šunjić,hr CRO,MF,Hertha BSC,de Bundesliga,26-172,1996,11.0,270,361,74.8,4449,1498,144,172,83.7,92,118,78.0,24,45,53.3,0,0.2,0.4,-0.2,4,34,4,0,30,Matches
2449,Sam Surridge,eng ENG,FW,Nott'ham Forest,eng Premier League,24-245,1998,3.1,32,70,45.7,466,150,18,37,48.6,12,22,54.5,1,3,33.3,0,0.1,0.0,-0.1,1,4,0,0,6,Matches
2450,Suso,es ESP,MFFW,Sevilla,es La Liga,29-131,1993,6.7,305,380,80.3,5585,1250,154,165,93.3,105,132,79.5,42,64,65.6,1,1.5,1.4,-0.5,18,23,18,4,55,Matches
2451,Mattias Svanberg,se SWE,MF,Wolfsburg,de Bundesliga,24-084,1999,14.3,258,373,69.2,4164,1338,118,160,73.8,99,129,76.7,25,47,53.2,4,3.0,2.7,+1.0,16,25,14,4,53,Matches
