,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
221,Mickaël Barreto,fr FRA,MF,Ajaccio,fr Ligue 1,32-071,1991,7.9,0,8,1,12.5,1.01,0.13,0.00,0.00,25.9,2,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
222,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,19-288,2003,4.9,0,8,2,25.0,1.64,0.41,0.00,0.00,21.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
223,Musa Barrow,gm GAM,FWMF,Bologna,it Serie A,24-136,1998,13.3,2,43,10,23.3,3.23,0.75,0.05,0.20,22.3,0,0,0,2.0,2.0,0.05,0.0,0.0,Matches
224,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,26-191,1996,26.0,3,13,3,23.1,0.50,0.12,0.23,1.00,10.2,0,0,0,1.5,1.5,0.11,+1.5,+1.5,Matches
225,Toma Bašić,hr CRO,MF,Lazio,it Serie A,26-125,1996,4.7,0,7,4,57.1,1.49,0.85,0.00,0.00,20.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
226,Gil Bastião Dias,pt POR,FW,Stuttgart,de Bundesliga,26-183,1996,4.4,1,10,4,40.0,2.26,0.90,0.10,0.25,20.2,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
227,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,23-351,1999,18.1,0,12,3,25.0,0.66,0.17,0.00,0.00,13.1,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches
228,Simone Bastoni,it ITA,MFDF,Spezia,it Serie A,26-145,1996,10.5,2,20,6,30.0,1.90,0.57,0.10,0.33,20.0,1,0,0,1.1,1.1,0.05,+0.9,+0.9,Matches
229,Rodrigo Battaglia,ar ARG,MF,Mallorca,es La Liga,31-261,1991,7.6,0,2,0,0.0,0.26,0.00,0.00,,18.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
230,Maximilian Bauer,de GER,DF,Augsburg,de Bundesliga,23-049,2000,13.7,0,8,0,0.0,0.58,0.00,0.00,,8.5,0,0,0,1.6,1.6,0.20,-1.6,-1.6,Matches
231,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,32-301,1990,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
232,Timo Baumgartl,de GER,DF,Union Berlin,de Bundesliga,27-026,1996,5.7,0,4,2,50.0,0.70,0.35,0.00,0.00,11.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
