,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
2518,Denis Suárez,es ESP,MF,Celta Vigo,es La Liga,26,1994,31.7,1627,2015,80.7,28386,7678,760,848,89.6,662,767,86.3,167,308,54.2,9,5.0,+4.0,42,153,33,4,170,Matches
2519,Luis Suárez,uy URU,FW,Atlético Madrid,es La Liga,33,1987,27.9,444,603,73.6,6925,1127,264,336,78.6,114,155,73.5,41,58,70.7,3,3.3,-0.3,27,30,23,1,39,Matches
2520,Marek Suchý,cz CZE,DF,Augsburg,de Bundesliga,32,1988,3.4,120,138,87.0,2444,873,30,35,85.7,73,76,96.1,16,26,61.5,0,0.0,0.0,0,5,1,1,8,Matches
2521,Niklas Süle,de GER,DF,Bayern Munich,de Bundesliga,24,1995,16.7,1194,1312,91.0,24844,8251,368,392,93.9,629,671,93.7,188,233,80.7,0,0.3,-0.3,8,98,14,4,94,Matches
2522,Suso,es ESP,FW,Sevilla,es La Liga,26,1993,24.6,991,1218,81.4,18591,4735,469,514,91.2,384,453,84.8,127,209,60.8,4,4.5,-0.5,42,93,54,19,111,Matches
2523,Bosko Sutalo,hr CRO,DF,Atalanta,it Serie A,20,2000,2.6,130,155,83.9,2079,787,69,80,86.3,53,61,86.9,8,9,88.9,0,0.2,-0.2,2,7,0,0,8,Matches
2524,Mattias Svanberg,se SWE,MF,Bologna,it Serie A,21,1999,20.6,526,655,80.3,9687,2795,229,270,84.8,218,256,85.2,67,95,70.5,2,2.5,-0.5,16,51,18,0,70,Matches
2525,Abdoulaye Sylla,gn GUI,DF,Nantes,fr Ligue 1,20,2000,0.1,3,6,50.0,49,3,1,1,100.0,2,3,66.7,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Matches
2526,Issiaga Sylla,gn GUI,DF,Lens,fr Ligue 1,26,1994,12.4,531,685,77.5,9304,3611,251,297,84.5,224,270,83.0,49,89,55.1,0,0.4,-0.4,9,26,13,8,63,Matches
2527,Eddy Sylvestre,fr FRA,FWMF,Nice,fr Ligue 1,20,1999,1.1,32,38,84.2,486,58,20,22,90.9,11,13,84.6,1,3,33.3,0,0.0,0.0,0,1,0,0,2,Matches
2528,Ádám Szalai,hu HUN,FW,Mainz 05,de Bundesliga,32,1987,8.1,113,210,53.8,1679,512,65,114,57.0,27,49,55.1,10,19,52.6,0,0.6,-0.6,5,12,3,0,16,Matches
2529,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,30,1990,29.7,910,1015,89.7,23298,12080,186,186,100.0,444,449,98.9,279,376,74.2,1,0.1,+0.9,1,4,0,0,1,Matches
2530,Frederik Sørensen,dk DEN,DF,Köln,de Bundesliga,28,1992,1.1,38,50,76.0,896,428,4,7,57.1,26,28,92.9,7,13,53.8,0,0.1,-0.1,1,5,1,0,4,Matches
2531,Alexander Sørloth,no NOR,FW,RB Leipzig,de Bundesliga,24,1995,16.0,361,480,75.2,4886,962,228,278,82.0,98,139,70.5,14,24,58.3,3,2.2,+0.8,26,16,23,2,35,Matches
2532,Tachi,es ESP,DF,Alavés,es La Liga,22,1997,9.4,254,347,73.2,6397,2508,53,64,82.8,126,139,90.6,73,137,53.3,0,0.1,-0.1,1,17,0,0,16,Matches
2533,Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,24,1996,24.7,1773,1951,90.9,39040,9981,431,464,92.9,1003,1058,94.8,329,407,80.8,0,0.1,-0.1,2,101,5,1,105,Matches
2534,Waniss Taibi,fr FRA,MF,Angers,fr Ligue 1,18,2002,0.4,28,32,87.5,441,65,13,15,86.7,12,13,92.3,2,3,66.7,0,0.0,0.0,1,2,0,0,1,Matches
2535,Flavien Tait,fr FRA,MFFW,Rennes,fr Ligue 1,27,1993,15.2,695,826,84.1,13114,2949,306,350,87.4,265,300,88.3,110,138,79.7,3,2.3,+0.7,22,62,18,1,69,Matches
2536,Adrien Tameze,cm CMR,MF,Hellas Verona,it Serie A,26,1994,25.6,821,1024,80.2,15280,3281,343,410,83.7,354,412,85.9,107,162,66.0,0,1.9,-1.9,15,70,25,2,87,Matches
2537,Japhet Tanganga,eng ENG,DF,Tottenham,eng Premier League,21,1999,5.4,193,229,84.3,2898,1163,108,120,90.0,72,81,88.9,7,17,41.2,0,0.0,0.0,0,6,3,1,12,Matches
2538,Renato Tapia,pe PER,MF,Celta Vigo,es La Liga,25,1995,30.0,1297,1570,82.6,26674,5994,477,545,87.5,567,631,89.9,227,339,67.0,1,0.9,+0.1,10,87,8,1,89,Matches
2539,Edmond Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,21,1999,29.5,2498,2746,91.0,57975,16066,543,580,93.6,1384,1465,94.5,557,670,83.1,0,0.5,-0.5,3,145,10,0,145,Matches
2540,Matt Targett,eng ENG,DF,Aston Villa,eng Premier League,24,1995,37.8,1653,2147,77.0,30781,15309,738,825,89.5,659,828,79.6,217,400,54.3,2,3.1,-1.1,44,159,53,15,222,Matches
2541,James Tarkowski,eng ENG,DF,Burnley,eng Premier League,27,1992,36.0,840,1167,72.0,20747,7676,221,286,77.3,374,458,81.7,240,401,59.9,0,0.7,-0.7,10,69,13,2,76,Matches
2542,Ciprian Tătărușanu,ro ROU,GK,Milan,it Serie A,34,1986,1.0,24,27,88.9,483,297,9,9,100.0,13,13,100.0,2,5,40.0,0,0.0,0.0,0,0,0,0,0,Matches
2543,Percy Tau,za RSA,FWMF,Brighton,eng Premier League,26,1994,1.1,22,29,75.9,322,67,11,15,73.3,10,11,90.9,0,2,0.0,1,0.3,+0.7,3,1,1,0,2,Matches
2544,Niklas Tauer,de GER,MFDF,Mainz 05,de Bundesliga,19,2001,0.8,17,27,63.0,326,196,7,9,77.8,7,12,58.3,3,6,50.0,0,0.0,0.0,1,1,1,1,3,Matches
2545,Heriberto Tavares,pt POR,MFFW,Brest,fr Ligue 1,23,1997,0.5,10,12,83.3,192,35,4,6,66.7,5,5,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,Matches
2546,Sidnei Tavares,pt POR,MF,Leicester City,eng Premier League,18,2001,0.9,19,26,73.1,309,52,11,16,68.8,7,8,87.5,1,1,100.0,0,0.0,0.0,0,0,0,0,1,Matches
2547,Tomás Tavares,pt POR,MFDF,Alavés,es La Liga,19,2001,0.7,18,22,81.8,261,80,11,12,91.7,6,7,85.7,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Matches
2548,Charlie Taylor,eng ENG,DF,Burnley,eng Premier League,26,1993,27.0,907,1298,69.9,16840,7035,429,491,87.4,348,455,76.5,121,302,40.1,1,1.8,-0.8,15,73,25,19,66,Matches
2549,Neil Taylor,wls WAL,DF,Aston Villa,eng Premier League,31,1989,0.2,10,11,90.9,120,29,8,8,100.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2550,Allan Tchaptchet,fr FRA,DF,Southampton,eng Premier League,18,2001,0.1,0,2,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2551,Warren Tchimbembé,fr FRA,MFFW,Metz,fr Ligue 1,22,1998,5.5,220,257,85.6,3876,838,97,113,85.8,98,111,88.3,18,25,72.0,0,0.1,-0.1,1,18,2,1,9,Matches
2552,Aurélien Tchouaméni,fr FRA,MF,Monaco,fr Ligue 1,20,2000,34.0,1552,1852,83.8,29433,7187,625,713,87.7,698,786,88.8,200,294,68.0,4,2.1,+1.9,17,154,25,1,162,Matches
2553,Álvaro Tejero,es ESP,DF,Eibar,es La Liga,24,1996,1.2,75,99,75.8,1458,583,30,34,88.2,32,40,80.0,12,23,52.2,0,0.2,-0.2,4,3,5,3,8,Matches
2554,Nathan Tella,eng ENG,FWMF,Southampton,eng Premier League,21,1999,8.3,107,146,73.3,1677,313,60,74,81.1,33,41,80.5,9,14,64.3,1,0.8,+0.2,6,4,8,4,6,Matches
2555,Alex Telles,br BRA,DF,Manchester Utd,eng Premier League,27,1992,7.7,459,570,80.5,7690,3146,235,250,94.0,168,198,84.8,43,104,41.3,2,1.1,+0.9,12,35,14,2,50,Matches
2556,Andrés Tello,co COL,DFMF,Benevento,it Serie A,23,1996,4.6,134,193,69.4,2407,948,63,75,84.0,49,69,71.0,17,37,45.9,0,0.0,0.0,1,13,1,0,16,Matches
2557,Cristian Tello,es ESP,FWMF,Betis,es La Liga,28,1991,14.3,391,498,78.5,6635,1798,198,226,87.6,148,189,78.3,40,55,72.7,3,2.7,+0.3,21,19,21,6,44,Matches
2558,Lino Tempelmann,de GER,MFDF,Freiburg,de Bundesliga,21,1999,3.0,126,161,78.3,2584,488,42,52,80.8,58,67,86.6,23,30,76.7,0,0.0,0.0,1,11,1,0,8,Matches
2559,Hidde ter Avest,nl NED,DF,Udinese,it Serie A,23,1997,3.9,155,210,73.8,2792,1344,75,93,80.6,63,80,78.8,15,30,50.0,0,0.0,0.0,0,13,1,0,14,Matches
2560,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,28,1992,31.0,921,1035,89.0,24254,14417,171,171,100.0,452,458,98.7,294,402,73.1,0,0.0,0.0,0,2,0,0,1,Matches
2561,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,30,1990,3.0,48,87,55.2,2190,1758,2,2,100.0,12,12,100.0,34,73,46.6,0,0.0,0.0,0,2,0,0,0,Matches
2562,Martin Terrier,fr FRA,FWMF,Rennes,fr Ligue 1,23,1997,27.1,642,799,80.4,9950,1673,369,449,82.2,213,253,84.2,46,53,86.8,7,4.5,+2.5,41,34,20,5,50,Matches
2563,Claudio Terzi,it ITA,DF,Spezia,it Serie A,36,1984,20.8,1107,1323,83.7,27578,9207,265,292,90.8,498,545,91.4,340,469,72.5,1,0.1,+0.9,3,103,8,0,73,Matches
2564,Kenny Tete,nl NED,DF,Fulham,eng Premier League,24,1995,16.5,642,863,74.4,11784,4782,282,335,84.2,267,340,78.5,77,129,59.7,1,1.6,-0.6,17,35,25,19,54,Matches
2565,Kenny Tete,nl NED,DF,Lyon,fr Ligue 1,24,1995,0.2,21,24,87.5,331,93,12,12,100.0,9,10,90.0,0,1,0.0,0,0.0,0.0,0,2,0,0,2,Matches
2566,Cedric Teuchert,de GER,FWMF,Union Berlin,de Bundesliga,23,1997,8.4,149,205,72.7,2471,781,78,103,75.7,46,57,80.7,17,29,58.6,1,1.0,0.0,8,15,5,0,19,Matches
2567,Florian Thauvin,fr FRA,FWMF,Marseille,fr Ligue 1,27,1993,30.4,1010,1430,70.6,17229,5826,538,636,84.6,317,419,75.7,121,283,42.8,8,9.0,-1.0,59,93,51,9,137,Matches
2568,Malick Thiaw,de GER,DF,Schalke 04,de Bundesliga,18,2001,16.1,622,761,81.7,13315,4134,160,196,81.6,349,383,91.1,107,166,64.5,0,0.1,-0.1,2,22,2,0,27,Matches
2569,Jan Thielmann,de GER,FWMF,Köln,de Bundesliga,18,2002,11.4,229,359,63.8,3526,1201,121,149,81.2,79,113,69.9,17,51,33.3,3,0.7,+2.3,9,21,3,2,24,Matches
2570,Sada Thioub,sn SEN,FWMF,Angers,fr Ligue 1,25,1995,14.0,504,604,83.4,8011,2130,290,329,88.1,158,174,90.8,46,64,71.9,1,2.1,-1.1,21,31,21,3,54,Matches
2571,William Thomas Fish,eng ENG,DF,Manchester Utd,eng Premier League,17,2003,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2572,Luke Thomas,eng ENG,DF,Leicester City,eng Premier League,19,2001,10.8,359,484,74.2,5636,1957,205,240,85.4,126,166,75.9,22,54,40.7,0,0.2,-0.2,5,22,7,2,28,Matches
2573,Romain Thomas,fr FRA,DF,Angers,fr Ligue 1,32,1988,33.6,1434,1643,87.3,33887,11278,357,381,93.7,698,741,94.2,363,493,73.6,0,0.0,0.0,1,63,0,0,68,Matches
2574,Adrien Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,26,1993,29.2,874,1148,76.1,14951,3034,419,518,80.9,339,431,78.7,90,130,69.2,1,4.7,-3.7,34,67,23,3,71,Matches
2575,Erik Thommy,de GER,DFFW,Stuttgart,de Bundesliga,25,1994,3.5,103,143,72.0,1928,471,52,59,88.1,32,46,69.6,17,28,60.7,2,0.9,+1.1,7,7,4,2,8,Matches
2576,Morten Thorsby,no NOR,MF,Sampdoria,it Serie A,24,1996,29.4,761,1002,75.9,11484,3797,435,521,83.5,255,340,75.0,43,76,56.6,1,0.9,+0.1,14,66,6,1,68,Matches
2577,Marcus Thuram,fr FRA,FW,M'Gladbach,de Bundesliga,22,1997,19.2,420,590,71.2,6041,1408,266,343,77.6,120,172,69.8,22,39,56.4,3,2.0,+1.0,14,24,10,2,37,Matches
2578,Khéphren Thuram-Ulie,fr FRA,MF,Nice,fr Ligue 1,19,2001,16.6,849,965,88.0,15769,3032,341,377,90.5,383,416,92.1,104,143,72.7,0,0.3,-0.3,5,62,16,2,72,Matches
2579,Cheikh Tidiane Sabaly,sn SEN,MF,Metz,fr Ligue 1,21,1999,0.1,3,5,60.0,57,3,0,0,,3,3,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
2580,Youri Tielemans,be BEL,MF,Leicester City,eng Premier League,23,1997,37.3,2011,2559,78.6,38768,9963,788,893,88.2,910,1049,86.7,282,538,52.4,4,3.3,+0.7,48,212,43,4,206,Matches
2581,Kieran Tierney,sct SCO,DF,Arsenal,eng Premier League,23,1997,25.5,1136,1490,76.2,20866,6069,480,550,87.3,521,625,83.4,127,271,46.9,3,4.1,-1.1,33,56,34,14,98,Matches
2582,Steffen Tigges,de GER,FW,Dortmund,de Bundesliga,22,1998,0.6,11,22,50.0,213,78,4,10,40.0,3,6,50.0,3,5,60.0,0,0.0,0.0,0,2,0,0,4,Matches
2583,Guus Til,nl NED,FW,Freiburg,de Bundesliga,22,1997,1.4,22,35,62.9,261,44,13,16,81.3,7,13,53.8,0,0,,0,0.0,0.0,1,2,0,0,0,Matches
2584,David Timor,es ESP,MFDF,Getafe,es La Liga,30,1989,15.5,390,602,64.8,9679,3496,138,175,78.9,135,193,69.9,109,217,50.2,0,0.9,-0.9,12,65,4,2,58,Matches
2585,Jean-Clair Todibo,fr FRA,DF,Nice,fr Ligue 1,20,1999,14.8,980,1096,89.4,22363,6634,246,268,91.8,516,541,95.4,211,275,76.7,0,0.1,-0.1,3,76,3,1,58,Matches
2586,Karl Toko Ekambi,cm CMR,FW,Lyon,fr Ligue 1,27,1992,31.2,770,991,77.7,12323,2860,418,488,85.7,283,362,78.2,51,86,59.3,6,6.1,-0.1,43,42,40,5,95,Matches
2587,Corentin Tolisso,fr FRA,MF,Bayern Munich,de Bundesliga,25,1994,8.7,469,546,85.9,9717,2625,171,196,87.2,205,223,91.9,86,106,81.1,0,0.5,-0.5,9,68,5,1,51,Matches
2588,Jeremy Toljan,de GER,DF,Sassuolo,it Serie A,25,1994,16.6,788,888,88.7,12796,3343,403,432,93.3,317,352,90.1,56,79,70.9,2,1.0,+1.0,13,48,14,4,43,Matches
2589,Rafael Tolói,it ITA,DF,Atalanta,it Serie A,29,1990,28.2,1378,1647,83.7,26244,9111,576,615,93.7,611,702,87.0,176,286,61.5,0,0.9,-0.9,14,139,19,3,142,Matches
2590,Takehiro Tomiyasu,jp JPN,DF,Bologna,it Serie A,21,1998,30.2,1380,1646,83.8,27175,9937,508,559,90.9,655,753,87.0,202,296,68.2,0,0.5,-0.5,8,128,10,3,126,Matches
2591,James Tomkins,eng ENG,DF,Crystal Palace,eng Premier League,31,1989,6.1,129,164,78.7,2909,907,32,36,88.9,67,72,93.1,29,52,55.8,0,0.1,-0.1,1,12,0,0,4,Matches
2592,Fikayo Tomori,eng ENG,DF,Chelsea,eng Premier League,22,1997,0.5,27,29,93.1,574,161,6,6,100.0,17,18,94.4,4,5,80.0,0,0.0,0.0,0,0,0,0,0,Matches
2593,Fikayo Tomori,eng ENG,DF,Milan,it Serie A,22,1997,16.3,801,884,90.6,16890,5467,208,221,94.1,461,485,95.1,123,165,74.5,0,0.0,0.0,0,33,0,0,37,Matches
2594,Sandro Tonali,it ITA,MF,Milan,it Serie A,20,2000,14.8,633,769,82.3,12016,3077,258,301,85.7,270,309,87.4,93,131,71.0,0,1.3,-1.3,16,64,11,1,55,Matches
2595,Lorenzo Tonelli,it ITA,DF,Sampdoria,it Serie A,30,1990,19.8,756,917,82.4,17235,4510,191,219,87.2,387,430,90.0,163,245,66.5,0,0.0,0.0,0,26,0,0,34,Matches
2596,Toño,es ESP,DF,Levante,es La Liga,30,1989,8.1,334,408,81.9,5378,2172,187,202,92.6,120,138,87.0,24,51,47.1,2,0.4,+1.6,5,19,7,3,34,Matches
2597,Ömer Toprak,tr TUR,DF,Werder Bremen,de Bundesliga,31,1989,21.6,875,1050,83.3,18317,5850,264,287,92.0,468,522,89.7,139,227,61.2,0,0.0,0.0,1,43,0,0,56,Matches
2598,Tyron Tormin,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19,2001,0.2,8,9,88.9,139,24,5,5,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,Matches
2599,Ernesto Torregrossa,it ITA,FW,Sampdoria,it Serie A,28,1992,1.9,32,44,72.7,408,67,20,26,76.9,7,9,77.8,2,3,66.7,0,0.4,-0.4,3,1,1,0,1,Matches
2600,Lucas Torreira,uy URU,MFFW,Atlético Madrid,es La Liga,24,1996,5.8,286,322,88.8,4769,1287,139,153,90.8,115,125,92.0,24,32,75.0,0,0.6,-0.6,3,23,3,0,24,Matches
2601,Ferrán Torres,es ESP,FWMF,Manchester City,eng Premier League,20,2000,14.5,360,442,81.4,5793,1046,189,217,87.1,138,158,87.3,22,48,45.8,2,1.9,+0.1,18,16,15,2,34,Matches
2602,Óliver Torres,es ESP,MFFW,Sevilla,es La Liga,25,1994,15.6,875,1031,84.9,18798,4314,364,393,92.6,301,342,88.0,190,261,72.8,3,1.7,+1.3,28,119,28,7,86,Matches
2603,Pau Torres,es ESP,DF,Villarreal,es La Liga,23,1997,33.0,1822,2042,89.2,40769,13464,521,554,94.0,901,957,94.1,388,503,77.1,2,1.1,+0.9,5,140,3,0,138,Matches
2604,Roberto Torres,es ESP,MFFW,Osasuna,es La Liga,31,1989,21.0,525,774,67.8,10764,3682,233,290,80.3,185,250,74.0,100,199,50.3,1,1.5,-0.5,19,61,27,9,78,Matches
2605,Lucas Torró,es ESP,MF,Osasuna,es La Liga,26,1994,17.2,529,675,78.4,9423,2598,242,295,82.0,199,249,79.9,70,102,68.6,1,0.6,+0.4,6,53,3,0,39,Matches
2606,Jordan Torunarigha,de GER,DF,Hertha BSC,de Bundesliga,22,1997,10.8,555,631,88.0,12994,4375,103,115,89.6,332,354,93.8,119,150,79.3,0,0.7,-0.7,4,33,1,0,35,Matches
2607,Cenk Tosun,tr TUR,FW,Everton,eng Premier League,29,1991,0.5,8,10,80.0,151,14,4,4,100.0,3,3,100.0,1,2,50.0,0,0.1,-0.1,1,0,0,0,0,Matches
2608,Abdoulaye Touré,fr FRA,MF,Nantes,fr Ligue 1,26,1994,18.7,799,939,85.1,14791,3271,328,380,86.3,363,415,87.5,94,121,77.7,2,1.8,+0.2,16,85,7,0,71,Matches
2609,Almamy Touré,ml MLI,DF,Eint Frankfurt,de Bundesliga,24,1996,7.8,225,342,65.8,3865,2003,119,155,76.8,73,104,70.2,27,55,49.1,1,1.2,-0.2,12,15,21,14,33,Matches
2610,Lucas Tousart,fr FRA,MF,Hertha BSC,de Bundesliga,23,1997,23.2,669,848,78.9,14897,3465,192,235,81.7,335,382,87.7,133,200,66.5,0,1.0,-1.0,7,70,3,1,59,Matches
2611,Andros Townsend,eng ENG,MFFW,Crystal Palace,eng Premier League,29,1991,25.1,587,864,67.9,10358,3963,299,354,84.5,180,243,74.1,85,207,41.1,5,3.7,+1.3,39,42,40,20,75,Matches
2612,Conor Townsend,eng ENG,DF,West Brom,eng Premier League,27,1993,24.8,881,1176,74.9,16373,7926,371,418,88.8,405,508,79.7,94,216,43.5,2,2.1,-0.1,22,78,25,15,118,Matches
2613,Mattéo Tramoni,fr FRA,FWMF,Cagliari,it Serie A,20,2000,0.8,10,13,76.9,145,53,6,7,85.7,2,2,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,1,Matches
2614,Adama Traoré,es ESP,FW,Wolves,eng Premier League,24,1996,29.4,579,878,65.9,9468,2410,298,384,77.6,211,312,67.6,52,103,50.5,2,5.4,-3.4,56,43,26,16,63,Matches
2615,Amadou Traore,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2002,3.4,74,103,71.8,1001,221,48,62,77.4,18,24,75.0,3,8,37.5,1,0.8,+0.2,6,0,4,3,4,Matches
2616,Bertrand Traoré,bf BFA,FW,Aston Villa,eng Premier League,24,1995,25.7,566,796,71.1,10852,2636,247,304,81.3,214,274,78.1,93,179,52.0,6,3.2,+2.8,33,28,26,7,62,Matches
2617,Boubacar Traoré,ml MLI,MF,Metz,fr Ligue 1,18,2001,0.6,34,47,72.3,625,177,16,20,80.0,15,19,78.9,3,7,42.9,0,0.0,0.0,0,6,0,0,5,Matches
2618,Chaka Traorè,ci CIV,DFFW,Parma,it Serie A,15,2004,0.2,6,10,60.0,78,28,4,6,66.7,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2619,Charles Traore,ml MLI,DF,Nantes,fr Ligue 1,28,1992,18.9,670,944,71.0,12594,5154,289,329,87.8,299,409,73.1,78,174,44.8,0,0.1,-0.1,4,58,9,2,64,Matches
2620,Cheick Traoré,ml MLI,DF,Lens,fr Ligue 1,25,1995,0.4,17,24,70.8,270,129,9,9,100.0,7,11,63.6,1,4,25.0,0,0.0,0.0,0,0,0,0,1,Matches
2621,Hamari Traoré,ml MLI,DF,Rennes,fr Ligue 1,28,1992,33.3,2034,2442,83.3,37544,11954,831,930,89.4,952,1090,87.3,222,342,64.9,1,3.3,-2.3,34,155,55,23,196,Matches
2622,Ibrahima Traoré,gn GUI,FWDF,M'Gladbach,de Bundesliga,32,1988,1.1,33,50,66.0,427,135,18,24,75.0,10,15,66.7,1,5,20.0,0,0.2,-0.2,1,1,1,0,3,Matches
2623,Ismaël Traoré,ci CIV,DF,Angers,fr Ligue 1,33,1986,33.3,1460,1700,85.9,30805,11698,412,442,93.2,808,872,92.7,224,355,63.1,3,0.7,+2.3,7,73,6,1,68,Matches
2624,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,30,1990,33.0,944,1352,69.8,28685,19176,190,191,99.5,402,404,99.5,349,754,46.3,0,0.0,0.0,0,14,0,0,0,Matches
2625,Miguel Trauco,pe PER,DF,Saint-Étienne,fr Ligue 1,27,1992,22.6,1080,1410,76.6,19878,9841,498,551,90.4,449,550,81.6,115,247,46.6,2,2.7,-0.7,29,80,31,14,106,Matches
2626,Trézéguet,eg EGY,FW,Aston Villa,eng Premier League,25,1994,13.0,228,328,69.5,3782,1102,107,140,76.4,87,120,72.5,23,42,54.8,1,2.0,-1.0,12,22,6,3,28,Matches
2627,Manu Trigueros,es ESP,MF,Villarreal,es La Liga,28,1991,28.1,1397,1625,86.0,25208,6986,636,704,90.3,576,637,90.4,161,234,68.8,6,5.1,+0.9,33,168,47,4,142,Matches
2628,Christopher Trimmel,at AUT,DF,Union Berlin,de Bundesliga,33,1987,28.6,1107,1549,71.5,21614,9067,485,546,88.8,416,528,78.8,193,417,46.3,9,4.9,+4.1,55,57,35,26,90,Matches
2629,Francisco Trincão,pt POR,FWMF,Barcelona,es La Liga,20,1999,7.8,332,393,84.5,4756,924,197,221,89.1,104,116,89.7,17,25,68.0,2,1.0,+1.0,7,12,10,1,24,Matches
2630,Alessandro Tripaldelli,it ITA,DF,Cagliari,it Serie A,21,1999,3.3,80,124,64.5,1489,796,26,41,63.4,45,64,70.3,6,11,54.5,0,0.2,-0.2,1,7,1,1,14,Matches
2631,Kieran Trippier,eng ENG,DF,Atlético Madrid,es La Liga,29,1990,27.5,1437,1812,79.3,26551,11524,661,727,90.9,580,699,83.0,175,325,53.8,6,3.6,+2.4,35,104,63,15,202,Matches
2632,Leandro Trossard,be BEL,FWMF,Brighton,eng Premier League,25,1994,29.0,813,1085,74.9,15607,4328,344,429,80.2,336,410,82.0,114,175,65.1,5,4.3,+0.7,46,79,64,15,124,Matches
2633,Alexis Trouillet,fr FRA,MF,Nice,fr Ligue 1,19,2000,1.2,56,68,82.4,1116,256,19,22,86.4,28,31,90.3,8,13,61.5,0,0.4,-0.4,2,8,2,0,7,Matches
2634,Adrien Truffert,fr FRA,DFMF,Rennes,fr Ligue 1,18,2001,21.7,1083,1290,84.0,17581,4615,545,603,90.4,449,525,85.5,74,128,57.8,3,2.0,+1.0,19,52,21,11,80,Matches
2635,Marvin Tshibuabua,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2002,0.5,15,17,88.2,367,134,4,5,80.0,5,5,100.0,6,7,85.7,0,0.0,0.0,0,0,0,0,0,Matches
2636,Kostas Tsimikas,gr GRE,DF,Liverpool,eng Premier League,24,1996,0.1,6,8,75.0,118,0,4,4,100.0,1,2,50.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Matches
2637,Axel Tuanzebe,eng ENG,DF,Manchester Utd,eng Premier League,22,1997,4.5,236,263,89.7,4763,1047,76,81,93.8,123,132,93.2,35,43,81.4,0,0.0,0.0,0,9,0,0,10,Matches
2638,Alessandro Tuia,it ITA,DF,Benevento,it Serie A,30,1990,19.6,621,786,79.0,14181,4873,153,168,91.1,325,380,85.5,130,214,60.7,0,0.2,-0.2,3,37,5,1,34,Matches
2639,Ľubomír Tupta,sk SVK,MF,Hellas Verona,it Serie A,22,1998,0.6,8,10,80.0,147,19,4,6,66.7,3,3,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
2640,Tuta,br BRA,DF,Eint Frankfurt,de Bundesliga,21,1999,16.2,850,994,85.5,17209,6042,267,304,87.8,438,481,91.1,132,189,69.8,0,0.3,-0.3,4,53,2,0,74,Matches
2641,Iyenoma Udogie,it ITA,DFMF,Hellas Verona,it Serie A,17,2002,1.9,99,116,85.3,1554,419,57,64,89.1,35,37,94.6,5,8,62.5,0,0.0,0.0,1,6,0,0,2,Matches
2642,Matthieu Udol,fr FRA,DF,Metz,fr Ligue 1,24,1996,19.2,798,975,81.8,13853,5495,371,412,90.0,356,407,87.5,59,119,49.6,3,2.2,+0.8,23,36,19,9,65,Matches
2643,Naomichi Ueda,jp JPN,DF,Nîmes,fr Ligue 1,25,1994,7.9,278,347,80.1,6906,2186,50,53,94.3,154,163,94.5,69,125,55.2,0,0.5,-0.5,5,22,4,1,21,Matches
2644,Chimuanya Ugochukwu,fr FRA,MF,Rennes,fr Ligue 1,16,2004,0.7,34,36,94.4,611,138,13,14,92.9,17,17,100.0,4,5,80.0,0,0.0,0.0,0,1,0,0,1,Matches
2645,Hwang Ui-jo,kr KOR,FWMF,Bordeaux,fr Ligue 1,27,1992,27.8,398,488,81.6,5614,682,249,282,88.3,127,152,83.6,11,23,47.8,3,2.1,+0.9,17,9,12,4,21,Matches
2646,Samir Ujkani,xk KVX,GK,Torino,it Serie A,32,1988,1.0,23,28,82.1,627,415,3,3,100.0,12,12,100.0,8,13,61.5,0,0.0,0.0,0,0,0,0,0,Matches
2647,Samuel Umtiti,fr FRA,DF,Barcelona,es La Liga,26,1993,7.2,578,604,95.7,10999,3373,207,214,96.7,319,328,97.3,51,59,86.4,0,0.0,0.0,1,34,0,0,30,Matches
