,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
783,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,28,1991,32.6,34,19,22,10,2,12,23,52.2,11,188,70,37.2,99,76,13,40,24,1,16,29,63,126,2,Matches
784,Jimmy Dunne,ie IRL,DF,Burnley,eng Premier League,22,1997,3.0,4,2,3,1,0,2,2,100.0,0,24,11,45.8,16,7,1,7,4,0,3,3,7,19,0,Matches
785,Erik Durm,de GER,DF,Eint Frankfurt,de Bundesliga,28,1992,16.4,21,16,7,12,2,7,27,25.9,20,227,79,34.8,76,89,62,32,6,0,26,23,44,25,0,Matches
786,Hugo Duro,es ESP,FW,Real Madrid,es La Liga,20,1999,0.6,0,0,0,0,0,0,0,,0,4,0,0.0,0,2,2,1,0,0,1,0,0,0,0,Matches
787,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,23,1997,22.5,41,24,26,15,0,14,32,43.8,18,220,78,35.5,132,75,13,34,17,0,17,18,59,99,1,Matches
788,Paulo Dybala,ar ARG,FW,Juventus,it Serie A,26,1993,12.6,15,11,3,7,5,2,12,16.7,10,205,57,27.8,26,83,96,16,0,0,16,3,18,1,0,Matches
789,Edin Džeko,ba BIH,FW,Roma,it Serie A,34,1986,20.3,7,7,2,2,3,3,11,27.3,8,190,55,28.9,7,83,100,15,5,0,10,4,11,11,0,Matches
790,Eric Junior Dina Ebimbe,fr FRA,FWMF,Dijon,fr Ligue 1,19,2000,23.8,42,32,17,20,5,14,49,28.6,35,421,95,22.6,98,215,108,24,3,0,21,17,59,11,0,Matches
791,Steeve-Mike Ebongue,fr FRA,MF,Genoa,it Serie A,19,2001,0.6,1,1,0,0,1,0,2,0.0,2,16,7,43.8,7,5,4,1,0,0,1,1,2,1,0,Matches
792,Enzo Ebosse,fr FRA,DF,Angers,fr Ligue 1,21,1999,2.9,6,3,4,2,0,4,7,57.1,3,39,14,35.9,26,10,3,6,2,0,4,1,7,12,0,Matches
793,Bruno Ecuele Manga,ga GAB,DF,Dijon,fr Ligue 1,32,1988,38.0,62,45,49,13,0,31,44,70.5,13,225,86,38.2,152,67,6,59,38,1,21,82,144,209,2,Matches
794,Simone Edera,it ITA,DFMF,Torino,it Serie A,23,1997,0.6,3,0,2,1,0,3,4,75.0,1,10,3,30.0,6,4,0,0,0,0,0,0,3,1,0,Matches
795,Ederson,br BRA,GK,Manchester City,eng Premier League,26,1993,36.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,0,0,0,0,0,0,2,1,Matches
796,Kyle Edwards,eng ENG,MFFW,West Brom,eng Premier League,22,1998,1.3,3,0,1,1,1,0,1,0.0,1,15,2,13.3,4,9,2,2,0,0,2,1,4,0,0,Matches
797,John Egan,ie IRL,DF,Sheffield Utd,eng Premier League,27,1992,29.2,47,30,34,12,1,17,34,50.0,17,247,81,32.8,155,87,5,56,33,1,23,41,88,160,1,Matches
798,Johannes Eggestein,de GER,FWMF,Werder Bremen,de Bundesliga,22,1998,0.4,0,0,0,0,0,0,1,0.0,1,15,5,33.3,3,5,7,0,0,0,0,0,0,2,0,Matches
799,Maximilian Eggestein,de GER,MF,Werder Bremen,de Bundesliga,23,1996,32.7,60,44,21,30,9,14,44,31.8,30,512,165,32.2,188,246,78,58,4,0,54,43,103,47,0,Matches
800,Lilian Egloff,de GER,MF,Stuttgart,de Bundesliga,17,2002,0.2,0,0,0,0,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0,Matches
801,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,25,1995,12.6,36,21,24,10,2,14,26,53.8,12,192,60,31.3,81,84,27,24,4,0,20,17,53,48,1,Matches
802,Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,31,1989,25.5,62,49,20,35,7,20,66,30.3,46,586,177,30.2,183,321,82,53,13,0,40,34,96,44,0,Matches
803,Hugo Ekitike,fr FRA,MFFW,Reims,fr Ligue 1,18,2002,1.0,1,1,0,0,1,1,2,50.0,1,22,9,40.9,2,7,13,0,0,0,0,0,1,0,0,Matches
804,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,18,2002,1.7,4,1,3,1,0,3,6,50.0,3,49,11,22.4,18,22,9,2,1,0,1,1,5,1,0,Matches
805,Niclas Eliasson,se SWE,MFFW,Nîmes,fr Ligue 1,24,1995,20.0,37,24,14,14,9,14,34,41.2,20,377,88,23.3,94,173,110,40,1,0,39,22,59,20,0,Matches
806,Elif Elmas,mk MKD,MFFW,Napoli,it Serie A,20,1999,8.2,15,9,5,6,4,7,17,41.2,10,140,38,27.1,31,66,43,13,1,0,12,5,20,4,0,Matches
807,Ahmed Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,32,1987,9.3,18,13,10,4,4,6,10,60.0,4,74,28,37.8,39,26,9,15,4,0,11,27,45,32,0,Matches
808,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,28,1992,17.2,16,11,9,7,0,5,19,26.3,14,197,57,28.9,71,91,35,18,4,0,14,20,36,24,1,Matches
809,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,26,1994,20.9,31,17,21,7,3,15,25,60.0,10,152,53,34.9,81,64,7,18,5,0,13,8,39,124,0,Matches
810,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,23,1996,28.2,61,33,42,18,1,27,42,64.3,15,224,90,40.2,137,83,4,58,23,0,35,64,125,174,0,Matches
811,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,26,1993,5.2,7,3,5,2,0,3,4,75.0,1,28,14,50.0,12,15,1,5,1,0,4,2,9,33,1,Matches
812,Sepe Elye Wahi,fr FRA,FW,Montpellier,fr Ligue 1,17,2003,6.2,4,2,3,1,0,2,5,40.0,3,88,23,26.1,12,35,41,4,0,0,4,2,6,5,0,Matches
813,Breel Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,23,1997,16.0,22,14,4,15,3,4,6,66.7,2,283,66,23.3,19,154,110,15,1,0,14,6,28,6,0,Matches
814,Emerson,br BRA,DF,Betis,es La Liga,21,1999,33.2,96,60,65,24,7,43,82,52.4,39,535,161,30.1,260,192,83,63,7,0,56,67,163,116,1,Matches
815,Manu Emmanuel Gyabuaa,it ITA,MF,Atalanta,it Serie A,18,2001,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches
816,Renaud Emond,be BEL,FW,Nantes,fr Ligue 1,28,1991,3.9,3,2,1,2,0,1,1,100.0,0,68,20,29.4,6,27,35,5,1,0,4,1,4,1,0,Matches
817,Alan Empereur,br BRA,DF,Hellas Verona,it Serie A,26,1994,2.4,2,1,2,0,0,1,2,50.0,1,15,6,40.0,8,6,1,2,1,0,1,5,7,5,2,Matches
818,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,23,1997,25.7,25,17,3,12,10,5,22,22.7,17,396,88,22.2,33,174,189,18,1,0,17,8,33,21,0,Matches
819,Keita Endo,jp JPN,MFFW,Union Berlin,de Bundesliga,22,1997,5.1,8,4,2,4,2,2,10,20.0,8,98,26,26.5,29,47,22,12,2,0,10,9,17,6,0,Matches
820,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,27,1993,32.8,89,62,36,42,11,31,77,40.3,46,640,232,36.3,236,326,78,64,12,0,52,47,136,73,1,Matches
821,Sergi Enrich,es ESP,FW,Eibar,es La Liga,30,1990,15.6,22,15,6,7,9,7,21,33.3,14,313,103,32.9,26,150,137,15,0,0,15,11,33,8,0,Matches
822,Christian Eriksen,dk DEN,MF,Inter,it Serie A,28,1992,15.4,12,8,8,2,2,5,21,23.8,16,177,51,28.8,52,77,48,22,2,0,20,10,22,14,1,Matches
823,Martin Erlic,hr CRO,DF,Spezia,it Serie A,22,1998,20.0,26,18,18,8,0,13,19,68.4,6,219,83,37.9,118,93,8,28,15,0,13,30,56,105,4,Matches
824,Patrick Erras,de GER,FWMF,Werder Bremen,de Bundesliga,25,1995,0.3,0,0,0,0,0,0,1,0.0,1,3,3,100.0,0,1,2,1,0,0,1,0,0,0,0,Matches
825,Gonzalo Escalante,ar ARG,MF,Lazio,it Serie A,27,1993,8.1,28,19,11,15,2,9,30,30.0,21,170,62,36.5,71,86,13,12,2,0,10,9,37,23,0,Matches
826,Aarón Escandell,es ESP,GK,Granada,es La Liga,24,1995,5.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,2,0,Matches
827,Dani Escriche,es ESP,FWMF,Huesca,es La Liga,22,1998,9.5,16,13,9,1,6,4,12,33.3,8,142,31,21.8,43,67,32,11,0,0,11,8,24,4,0,Matches
828,Sergio Escudero,es ESP,DF,Sevilla,es La Liga,30,1989,6.3,12,8,5,6,1,5,9,55.6,4,88,24,27.3,28,39,21,9,2,0,7,7,19,13,0,Matches
829,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,28,1992,28.9,92,58,66,25,1,44,92,47.8,48,525,140,26.7,310,174,41,71,7,1,64,46,138,86,0,Matches
830,Vicente Esquerdo,es ESP,MF,Valencia,es La Liga,21,1999,2.6,7,6,4,2,1,1,4,25.0,3,46,21,45.7,23,18,5,9,3,0,6,5,12,6,0,Matches
831,Nahuel Estévez,ar ARG,MF,Spezia,it Serie A,24,1995,19.6,17,13,6,8,3,4,34,11.8,30,315,84,26.7,78,163,74,25,5,0,20,32,49,29,0,Matches
832,Pervis Estupiñán,ec ECU,DF,Villarreal,es La Liga,22,1998,13.0,37,24,19,14,4,12,18,66.7,6,175,70,40.0,80,65,30,21,2,0,19,29,66,23,2,Matches
833,Yoann Etienne,fr FRA,DF,Lorient,fr Ligue 1,23,1997,1.0,2,1,0,2,0,1,3,33.3,2,21,5,23.8,9,10,2,3,0,0,3,2,4,0,0,Matches
834,Xabier Etxeita,es ESP,DF,Getafe,es La Liga,32,1987,9.8,12,6,7,5,0,5,14,35.7,9,77,29,37.7,46,25,6,11,3,0,8,10,22,77,1,Matches
835,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,32,1988,27.5,21,12,17,3,1,10,21,47.6,11,168,66,39.3,112,53,3,27,6,0,21,41,62,146,0,Matches
836,Edu Expósito,es ESP,MF,Eibar,es La Liga,23,1996,27.3,43,27,15,25,3,18,59,30.5,41,443,150,33.9,105,244,94,40,4,0,36,32,75,23,1,Matches
837,Valentin Eysseric,fr FRA,MFFW,Fiorentina,it Serie A,28,1992,8.1,18,10,7,10,1,6,14,42.9,8,162,33,20.4,56,78,28,13,0,0,13,9,27,5,0,Matches
838,Eberechi Eze,eng ENG,MF,Crystal Palace,eng Premier League,22,1998,28.4,38,22,18,14,6,14,36,38.9,22,319,91,28.5,89,162,68,32,3,0,29,29,67,6,0,Matches
839,Jokin Ezkieta,es ESP,GK,Athletic Club,es La Liga,23,1996,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
840,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,35,1985,35.0,0,0,0,0,0,0,0,,0,11,2,18.2,11,0,0,3,0,0,3,0,0,1,1,Matches
841,Fabinho,br BRA,DFMF,Liverpool,eng Premier League,26,1993,28.5,72,51,25,40,7,25,56,44.6,31,351,115,32.8,120,200,31,41,12,0,29,49,121,106,0,Matches
842,Fábio,br BRA,DF,Nantes,fr Ligue 1,30,1990,16.7,74,39,44,27,3,30,59,50.8,29,322,102,31.7,162,127,33,48,9,1,39,21,95,66,0,Matches
843,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,33,1987,9.7,22,14,9,10,3,9,32,28.1,23,158,44,27.8,32,90,36,12,2,0,10,3,25,6,0,Matches
844,Bandiougou Fadiga,fr FRA,FWMF,Paris S-G,fr Ligue 1,19,2001,0.7,1,1,1,0,0,0,0,,0,17,7,41.2,2,8,7,0,0,0,0,1,2,0,0,Matches
845,Bandiougou Fadiga,fr FRA,MF,Brest,fr Ligue 1,19,2001,0.5,0,0,0,0,0,0,1,0.0,1,8,4,50.0,1,5,2,0,0,0,0,1,1,0,0,Matches
846,Wout Faes,be BEL,DF,Reims,fr Ligue 1,22,1998,32.2,49,32,39,10,0,17,42,40.5,25,227,86,37.9,152,70,5,51,31,1,20,55,104,182,4,Matches
847,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,19,2001,0.2,0,0,0,0,0,0,0,,0,5,2,40.0,1,3,1,1,0,0,1,0,0,0,0,Matches
848,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,31,1988,20.8,0,0,0,0,0,0,1,0.0,1,4,1,25.0,4,0,0,0,0,0,0,0,0,0,0,Matches
849,Romain Faivre,fr FRA,MFFW,Brest,fr Ligue 1,22,1998,32.1,67,47,25,32,10,18,52,34.6,34,519,173,33.3,176,219,124,43,0,0,43,33,100,17,0,Matches
850,Fali,es ESP,DFMF,Cádiz,es La Liga,26,1993,29.3,43,21,26,14,3,10,29,34.5,19,280,81,28.9,147,115,18,45,16,1,29,24,67,148,0,Matches
851,Iago Falque,es ESP,MFFW,Benevento,it Serie A,30,1990,4.0,4,2,2,1,1,1,5,20.0,4,39,15,38.5,12,15,12,3,1,0,2,3,7,2,0,Matches
852,Andri Fannar Baldursson,is ISL,MF,Bologna,it Serie A,18,2002,2.4,5,3,3,1,1,1,3,33.3,2,74,12,16.2,27,34,13,5,1,0,4,1,6,8,0,Matches
853,Paolo Faragò,it ITA,DF,Bologna,it Serie A,27,1993,0.3,0,0,0,0,0,0,2,0.0,2,6,2,33.3,2,2,2,1,0,0,1,0,0,0,0,Matches
854,Paolo Faragò,it ITA,DFMF,Cagliari,it Serie A,27,1993,4.1,11,3,5,6,0,6,18,33.3,12,73,15,20.5,34,25,14,6,2,0,4,9,20,18,0,Matches
855,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,28,1991,32.1,71,37,44,20,7,29,69,42.0,40,393,103,26.2,180,134,79,79,17,0,62,56,127,93,1,Matches
856,Mohamed Fares,dz ALG,DF,Lazio,it Serie A,24,1996,12.7,18,9,8,7,3,7,20,35.0,13,174,35,20.1,55,77,42,31,1,0,30,13,31,14,0,Matches
857,Diego Farias,br BRA,FW,Spezia,it Serie A,30,1990,16.8,12,8,5,2,5,3,19,15.8,16,199,47,23.6,45,86,68,17,0,0,17,13,25,3,0,Matches
858,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,22,1998,1.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
859,Noah Fatar,fr FRA,FWMF,Angers,fr Ligue 1,18,2002,0.2,0,0,0,0,0,0,0,,0,5,0,0.0,1,3,1,0,0,0,0,1,1,0,0,Matches
860,Ansu Fati,es ESP,FW,Barcelona,es La Liga,17,2002,4.8,8,3,2,3,3,2,5,40.0,3,80,18,22.5,18,29,33,8,0,0,8,1,9,1,0,Matches
861,Julien Faussurier,fr FRA,DF,Brest,fr Ligue 1,33,1987,10.6,23,15,12,9,2,12,25,48.0,13,132,37,28.0,60,54,18,20,5,0,15,8,31,20,0,Matches
862,Andrea Favilli,it ITA,FW,Hellas Verona,it Serie A,23,1997,3.8,3,3,0,1,2,1,2,50.0,1,40,14,35.0,1,14,25,3,1,0,2,0,3,3,0,Matches
863,Federico Fazio,ar ARG,DF,Roma,it Serie A,33,1987,4.5,5,4,3,2,0,1,2,50.0,1,39,14,35.9,18,17,4,9,4,1,5,5,10,32,0,Matches
864,Nabil Fekir,fr FRA,MFFW,Betis,es La Liga,27,1993,29.1,45,36,12,16,17,7,28,25.0,21,604,170,28.1,65,338,201,31,1,0,30,12,57,3,0,Matches
865,Felipe,br BRA,DF,Atlético Madrid,es La Liga,31,1989,22.9,38,23,27,11,0,16,23,69.6,7,184,54,29.3,104,69,11,38,17,0,21,43,81,159,0,Matches
866,Luiz Felipe,br BRA,DF,Lazio,it Serie A,23,1997,10.1,37,26,29,7,1,16,27,59.3,11,121,44,36.4,67,48,6,22,10,0,12,21,58,27,1,Matches
867,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,22,1997,29.0,40,24,26,11,3,16,32,50.0,16,275,112,40.7,153,100,22,68,27,0,41,36,76,219,3,Matches
868,João Félix,pt POR,FWMF,Atlético Madrid,es La Liga,20,1999,17.5,9,6,2,6,1,4,13,30.8,9,182,59,32.4,15,98,69,7,0,0,7,9,18,3,0,Matches
869,Zinedine Ferhat,dz ALG,FWMF,Nîmes,fr Ligue 1,27,1993,32.9,37,19,19,11,7,18,50,36.0,32,377,99,26.3,101,159,117,45,1,0,44,34,71,35,0,Matches
870,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,25,1994,34.4,60,39,21,25,14,18,91,19.8,73,718,179,24.9,117,344,257,40,1,0,39,22,82,27,0,Matches
871,Edimilson Fernandes,ch SUI,MFDF,Mainz 05,de Bundesliga,24,1996,9.3,9,5,4,5,0,3,10,30.0,7,115,35,30.4,38,55,22,19,6,0,13,23,32,26,0,Matches
872,Aitor Fernández,es ESP,GK,Levante,es La Liga,29,1991,29.0,0,0,0,0,0,0,0,,0,6,1,16.7,6,0,0,1,0,0,1,0,0,4,0,Matches
873,Álex Fernández,es ESP,MF,Cádiz,es La Liga,27,1992,21.6,25,15,9,13,3,9,32,28.1,23,328,69,21.0,119,166,43,23,1,0,22,21,46,24,0,Matches
874,Álvaro Fernández,es ESP,GK,Huesca,es La Liga,22,1998,22.0,0,0,0,0,0,0,2,0.0,2,5,3,60.0,3,2,0,0,0,0,0,0,0,1,0,Matches
875,Andrés Fernández,es ESP,GK,Huesca,es La Liga,33,1986,16.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,Matches
876,Augusto Fernández,ar ARG,MF,Cádiz,es La Liga,34,1986,4.1,11,6,2,9,0,6,17,35.3,11,120,32,26.7,49,56,15,5,1,0,4,11,22,8,0,Matches
877,Carlos Fernández,es ESP,FW,Sevilla,es La Liga,24,1996,1.6,1,0,1,0,0,0,2,0.0,2,17,1,5.9,2,4,11,3,1,0,2,1,2,0,0,Matches
878,Carlos Fernández,es ESP,FWMF,Real Sociedad,es La Liga,24,1996,4.3,2,1,0,2,0,1,7,14.3,6,111,25,22.5,13,61,37,8,2,0,6,3,5,6,0,Matches
879,Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,31,1989,23.1,35,17,26,7,2,14,25,56.0,11,183,51,27.9,129,47,7,51,32,0,19,17,52,166,1,Matches
880,Joaquín Fernández,es ESP,DF,Valladolid,es La Liga,24,1996,23.0,29,18,20,9,0,7,22,31.8,15,181,63,34.8,104,65,12,40,15,0,25,33,62,151,1,Matches
881,Fernandinho,br BRA,MF,Manchester City,eng Premier League,35,1985,13.2,31,22,6,17,8,12,38,31.6,26,223,75,33.6,47,142,34,15,1,0,14,26,57,32,0,Matches
882,Fernando,br BRA,MF,Sevilla,es La Liga,33,1987,28.3,68,52,33,29,6,30,56,53.6,26,365,131,35.9,156,164,45,45,9,0,36,40,108,78,0,Matches
883,Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,26,1994,9.8,32,23,20,11,1,11,24,45.8,13,146,67,45.9,74,60,12,17,7,0,10,17,49,34,0,Matches
884,David Ferreiro,es ESP,MFFW,Huesca,es La Liga,32,1988,28.1,30,14,15,9,6,6,44,13.6,38,490,107,21.8,121,243,126,44,1,0,43,18,48,11,0,Matches
885,Salvador Ferrer,es ESP,DF,Spezia,it Serie A,22,1998,13.2,,9,,,,,,,,,,,,,,,,,,22,,,,Matches
886,Facundo Ferreyra,ar ARG,FW,Celta Vigo,es La Liga,29,1991,3.3,2,2,0,2,0,1,1,100.0,0,67,12,17.9,9,38,20,4,0,0,4,0,2,2,0,Matches
887,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,28,1992,28.6,82,61,50,28,4,31,105,29.5,74,578,204,35.3,239,278,61,37,6,1,31,17,99,22,0,Matches
888,Marco Festa,it ITA,GK,Crotone,it Serie A,28,1992,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
889,Fidel,es ESP,MFDF,Elche,es La Liga,30,1989,26.6,48,30,31,11,6,25,82,30.5,57,407,109,26.8,177,162,68,42,4,0,38,13,61,23,0,Matches
890,Sam Field,eng ENG,MF,West Brom,eng Premier League,22,1998,0.7,9,7,4,5,0,2,3,66.7,1,22,10,45.5,8,13,1,6,1,0,5,0,9,4,0,Matches
891,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,31,1989,6.0,3,1,0,2,1,1,3,33.3,2,84,31,36.9,16,38,30,9,2,0,7,1,4,4,0,Matches
892,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,28,1991,31.5,35,22,4,14,17,12,38,31.6,26,596,175,29.4,73,279,244,58,5,0,53,10,45,11,0,Matches
893,Junior Firpo,es ESP,DF,Barcelona,es La Liga,23,1996,3.2,2,2,1,1,0,0,1,0.0,1,32,12,37.5,17,11,4,5,3,0,2,4,6,6,0,Matches
894,John Fleck,sct SCO,MF,Sheffield Utd,eng Premier League,28,1991,28.6,46,27,26,16,4,16,69,23.2,53,506,127,25.1,178,246,82,37,5,0,32,39,85,18,1,Matches
895,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,27,1993,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
896,Florian Flick,de GER,MF,Schalke 04,de Bundesliga,20,2000,4.0,9,7,3,6,0,4,13,30.8,9,111,36,32.4,66,43,2,7,2,0,5,6,15,11,0,Matches
897,Alexis Flips,fr FRA,MF,Reims,fr Ligue 1,20,2000,0.5,0,0,0,0,0,0,2,0.0,2,13,3,23.1,5,7,1,0,0,0,0,0,0,2,0,Matches
898,Alessandro Florenzi,it ITA,DF,Paris S-G,fr Ligue 1,29,1991,17.1,29,19,13,11,5,14,41,34.1,27,169,54,32.0,53,69,47,16,1,0,15,16,45,27,0,Matches
899,Kingsley Fobi,gh GHA,DF,Granada,es La Liga,21,1998,0.5,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,1,0,0,1,0,0,1,0,Matches
900,Phil Foden,eng ENG,FWMF,Manchester City,eng Premier League,20,2000,18.0,26,16,10,11,5,10,21,47.6,11,307,88,28.7,51,117,139,15,1,0,14,12,38,12,0,Matches
901,Mamadou Fofana,ml MLI,MFDF,Metz,fr Ligue 1,22,1998,11.9,31,14,20,11,0,10,34,29.4,24,173,48,27.7,103,67,3,20,3,0,17,15,46,41,0,Matches
902,Seko Fofana,ci CIV,MF,Lens,fr Ligue 1,25,1995,25.7,22,11,6,13,3,8,35,22.9,27,347,112,32.3,110,171,66,37,5,0,32,32,54,21,0,Matches
903,Wesley Fofana,fr FRA,DF,Leicester City,eng Premier League,19,2000,25.1,63,41,38,24,1,18,35,51.4,17,248,83,33.5,139,101,8,47,21,0,26,51,114,125,0,Matches
904,Wesley Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,19,2000,3.5,6,5,5,1,0,3,4,75.0,1,27,13,48.1,20,5,2,8,3,0,5,4,10,18,0,Matches
905,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,21,1999,31.9,96,80,35,51,10,19,68,27.9,49,588,226,38.4,173,346,69,57,8,0,49,43,139,28,1,Matches
906,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,25,1994,36.9,83,46,51,22,10,25,56,44.6,31,438,133,30.4,243,134,61,67,6,0,61,57,140,94,1,Matches
907,Ramón Folch,es ESP,MF,Elche,es La Liga,30,1989,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
908,Lamine Fomba,fr FRA,MF,Nîmes,fr Ligue 1,22,1998,24.2,71,49,33,30,8,21,68,30.9,47,652,187,28.7,196,345,111,59,21,0,38,42,113,40,2,Matches
909,Thomas Fontaine,mg MAD,DF,Lorient,fr Ligue 1,29,1991,3.6,5,2,4,1,0,1,4,25.0,3,35,11,31.4,27,8,0,4,2,0,2,1,6,19,0,Matches
910,José Fontán,es ESP,DF,Celta Vigo,es La Liga,20,2000,7.2,14,7,10,4,0,3,11,27.3,8,97,24,24.7,42,49,6,11,3,0,8,9,23,45,0,Matches
911,José Fonte,pt POR,DF,Lille,fr Ligue 1,36,1983,35.4,49,27,36,9,4,28,38,73.7,10,194,70,36.1,121,58,15,61,31,0,30,34,83,179,1,Matches
912,Fernando Forestieri,it ITA,FWMF,Udinese,it Serie A,30,1990,6.1,12,9,6,4,2,2,4,50.0,2,117,39,33.3,18,45,54,7,0,0,7,1,13,2,0,Matches
913,Pablo Fornals,es ESP,FWMF,West Ham,eng Premier League,24,1996,28.6,44,29,16,21,7,7,82,8.5,75,577,120,20.8,177,273,127,53,1,0,52,33,77,9,1,Matches
914,Emil Forsberg,se SWE,FWMF,RB Leipzig,de Bundesliga,28,1991,17.1,14,8,1,7,6,3,24,12.5,21,327,98,30.0,32,140,155,15,1,0,14,7,21,3,0,Matches
915,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,32,1988,8.0,0,0,0,0,0,0,1,0.0,1,3,1,33.3,3,0,0,0,0,0,0,0,0,4,0,Matches
916,Philipp Förster,de GER,FWMF,Stuttgart,de Bundesliga,25,1995,16.8,30,22,12,15,3,7,24,29.2,17,290,78,26.9,66,126,98,23,2,0,21,16,46,6,0,Matches
917,Steven Fortes,cv CPV,DF,Lens,fr Ligue 1,28,1992,15.9,38,20,18,19,1,14,21,66.7,7,175,56,32.0,101,65,9,20,8,1,12,28,66,87,0,Matches
918,Yassin Fortune,fr FRA,FW,Angers,fr Ligue 1,21,1999,0.2,0,0,0,0,0,0,0,,0,8,1,12.5,0,4,4,0,0,0,0,0,0,0,0,Matches
919,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,eng Premier League,22,1998,0.9,3,1,2,1,0,1,1,100.0,0,7,2,28.6,3,4,0,1,0,0,1,1,4,1,0,Matches
920,Timothy Fosu-Mensah,nl NED,DF,Leverkusen,de Bundesliga,22,1998,4.5,9,5,5,3,1,4,6,66.7,2,38,17,44.7,14,19,5,13,1,0,12,6,15,6,0,Matches
921,Daam Foulon,be BEL,DF,Benevento,it Serie A,21,1999,11.3,23,8,18,5,0,12,27,44.4,15,137,39,28.5,84,43,10,27,3,0,24,7,30,30,0,Matches
922,Dimitri Foulquier,fr FRA,DF,Granada,es La Liga,27,1993,29.6,44,28,26,14,4,18,32,56.3,14,330,98,29.7,150,140,40,50,6,0,44,32,76,81,1,Matches
923,Juan Foyth,ar ARG,DFMF,Villarreal,es La Liga,22,1998,13.0,42,26,25,11,6,9,31,29.0,22,198,65,32.8,81,101,16,35,8,1,27,19,61,31,1,Matches
924,Gianluca Frabotta,it ITA,DF,Juventus,it Serie A,21,1999,7.7,7,6,4,2,1,2,12,16.7,10,98,26,26.5,38,36,24,15,2,0,13,12,19,17,0,Matches
925,Raphael Framberger,de GER,DF,Augsburg,de Bundesliga,24,1995,17.1,41,16,22,12,7,15,30,50.0,15,208,54,26.0,106,73,29,63,6,0,57,27,68,64,1,Matches
926,Tyrese Francois,au AUS,DF,Fulham,eng Premier League,20,2000,0.2,0,0,0,0,0,0,0,,0,2,1,50.0,2,0,0,1,0,0,1,0,0,0,0,Matches
